sample_id,curve_id,load_case,deployment,response_axis,step,force,displacement,signed_force,signed_displacement,converged,final_load,reference_stiffness,target_linear_displacement
miura_00001,0,bending,0.3,z,1,22.3115919885125,0.00016671986936957,-22.3115919885125,-0.00016671986936957,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,2,44.623183977025,0.000333678000032275,-44.623183977025,-0.000333678000032275,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,3,66.9347759655375,0.000501056222841315,-66.9347759655375,-0.000501056222841315,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,4,89.24636795405,0.000669037000750064,-89.24636795405,-0.000669037000750064,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,5,111.557959942562,0.000837803981429458,-111.557959942562,-0.000837803981429458,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,6,133.869551931075,0.00100754236184681,-133.869551931075,-0.00100754236184681,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,7,156.181143919587,0.00117843925311442,-156.181143919587,-0.00117843925311442,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,8,178.4927359081,0.00135068404562186,-178.4927359081,-0.00135068404562186,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,9,200.804327896612,0.00152446877408247,-200.804327896612,-0.00152446877408247,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,10,223.115919885125,0.00169998848232393,-223.115919885125,-0.00169998848232393,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,11,245.427511873637,0.00187744158721879,-245.427511873637,-0.00187744158721879,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,12,267.73910386215,0.00205703024107803,-267.73910386215,-0.00205703024107803,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,13,290.050695850662,0.0022389606916487,-290.050695850662,-0.0022389606916487,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,14,312.362287839175,0.00242344363852415,-312.362287839175,-0.00242344363852415,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,15,334.673879827687,0.00261069458454943,-334.673879827687,-0.00261069458454943,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,16,356.9854718162,0.00280093418048622,-356.9854718162,-0.00280093418048622,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,17,379.297063804712,0.00299438856084148,-379.297063804712,-0.00299438856084148,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,18,401.608655793225,0.00319128966833862,-401.608655793225,-0.00319128966833862,1,1338.69551931075,133869.551931075,0.01
miura_00001,0,bending,0.3,z,19,423.920247781737,0.00339187556414784,-423.920247781737,-0.00339187556414784,1,1338.69551931075,133869.551931075,0.01
