sample_id,curve_id,load_case,deployment,response_axis,step,force,displacement,signed_force,signed_displacement,converged,final_load,reference_stiffness,target_linear_displacement
miura_00002,0,bending,0.3,z,1,63.9985598837643,0.000166670500059933,-63.9985598837643,-0.000166670500059933,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,2,127.997119767529,0.000333369898252927,-127.997119767529,-0.000333369898252927,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,3,191.995679651293,0.000500125395968544,-191.995679651293,-0.000500125395968544,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,4,255.994239535057,0.000666964197481996,-255.994239535057,-0.000666964197481996,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,5,319.992799418822,0.000833913618319925,-319.992799418822,-0.000833913618319925,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,6,383.991359302586,0.00100100111593755,-383.991359302586,-0.00100100111593755,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,7,447.98991918635,0.0011682543208322,-447.98991918635,-0.0011682543208322,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,8,511.988479070115,0.00133570106806619,-511.988479070115,-0.00133570106806619,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,9,575.987038953879,0.00150336942937259,-575.987038953879,-0.00150336942937259,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,10,639.985598837643,0.00167128774578511,-639.985598837643,-0.00167128774578511,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,11,703.984158721408,0.00183948466098092,-703.984158721408,-0.00183948466098092,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,12,767.982718605172,0.00200798915533787,-767.982718605172,-0.00200798915533787,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,13,831.981278488936,0.00217683058080614,-831.981278488936,-0.00217683058080614,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,14,895.979838372701,0.00234603869666687,-895.979838372701,-0.00234603869666687,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,15,959.978398256465,0.00251564370626597,-959.978398256465,-0.00251564370626597,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,16,1023.97695814023,0.00268567629477183,-1023.97695814023,-0.00268567629477183,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,17,1087.97551802399,0.00285616766808887,-1087.97551802399,-0.00285616766808887,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,18,1151.97407790776,0.00302714959296356,-1151.97407790776,-0.00302714959296356,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,19,1215.97263779152,0.00319865443840553,-1215.97263779152,-0.00319865443840553,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,20,1279.97119767529,0.00337071521849358,-1279.97119767529,-0.00337071521849358,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,21,1343.96975755905,0.00354336563667604,-1343.96975755905,-0.00354336563667604,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,22,1407.96831744282,0.00371664013165592,-1407.96831744282,-0.00371664013165592,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,23,1471.96687732658,0.00389057392496022,-1471.96687732658,-0.00389057392496022,1,3839.91359302586,383991.359302586,0.01
miura_00002,0,bending,0.3,z,24,1535.96543721034,0.00406520307031609,-1535.96543721034,-0.00406520307031609,1,3839.91359302586,383991.359302586,0.01
