sample_id,curve_id,load_case,deployment,response_axis,step,force,displacement,signed_force,signed_displacement,converged,final_load,reference_stiffness,target_linear_displacement
miura_00003,0,bending,0.3,z,1,83.5484865360308,0.000166699158556621,-83.5484865360308,-0.000166699158556621,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,2,167.096973072062,0.000333541224810409,-167.096973072062,-0.000333541224810409,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,3,250.645459608092,0.000500637071774591,-250.645459608092,-0.000500637071774591,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,4,334.193946144123,0.000668098021971806,-334.193946144123,-0.000668098021971806,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,5,417.742432680154,0.000836036149423104,-417.742432680154,-0.000836036149423104,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,6,501.290919216185,0.00100456452792545,-501.290919216185,-0.00100456452792545,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,7,584.839405752216,0.00117379748305832,-584.839405752216,-0.00117379748305832,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,8,668.387892288247,0.00134385084871067,-668.387892288247,-0.00134385084871067,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,9,751.936378824278,0.0015148422290301,-751.936378824278,-0.0015148422290301,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,10,835.484865360308,0.00168689126654839,-835.484865360308,-0.00168689126654839,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,11,919.033351896339,0.00186011991742425,-919.033351896339,-0.00186011991742425,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,12,1002.58183843237,0.00203465273455402,-1002.58183843237,-0.00203465273455402,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,13,1086.1303249684,0.00221061715946704,-1086.1303249684,-0.00221061715946704,1,5012.90919216185,501290.919216185,0.01
miura_00003,0,bending,0.3,z,14,1169.67881150443,0.00238814382382172,-1169.67881150443,-0.00238814382382172,1,5012.90919216185,501290.919216185,0.01
