model,epoch,batch_train_mse,train_mse,test_mse
forward_x_to_curve,1,1.1034666895866394,1.0078810453414917,0.5568572282791138
forward_x_to_curve,25,0.07763067912310362,0.07219214737415314,0.1813080906867981
forward_x_to_curve,50,0.003692546975798905,0.0033660619519650936,0.1720706969499588
forward_x_to_curve,75,0.0008396969642490149,0.0008102076826617122,0.16781620681285858
forward_x_to_curve,100,0.00034280758700333536,0.00033290594001300633,0.16532360017299652
forward_x_to_curve,125,0.00017216779087902978,0.00016775385302025825,0.16393053531646729
forward_x_to_curve,150,0.00010121819650521502,9.953326662071049e-05,0.16302092373371124
forward_x_to_curve,175,6.625651258218568e-05,6.527316872961819e-05,0.16232778131961823
forward_x_to_curve,200,4.6447432396234944e-05,4.52468084404245e-05,0.161779522895813
forward_x_to_curve,225,3.3047376746253576e-05,3.230866786907427e-05,0.1613968461751938
forward_x_to_curve,250,2.4144617782440037e-05,2.3551763661089353e-05,0.16107399761676788
forward_x_to_curve,275,1.7855105397757143e-05,1.7459171431255527e-05,0.16085626184940338
forward_x_to_curve,300,1.3201328329159878e-05,1.3065846360404976e-05,0.16066168248653412
inverse_curve_to_x,1,0.9627031683921814,0.6464757919311523,0.7141715288162231
inverse_curve_to_x,25,0.16157329455018044,0.14449098706245422,0.7470604777336121
inverse_curve_to_x,50,0.08190556988120079,0.06988311558961868,0.8463218808174133
inverse_curve_to_x,75,0.05290145426988602,0.04596216604113579,0.8244376182556152
inverse_curve_to_x,100,0.0318208709359169,0.022056786343455315,0.7738364338874817
inverse_curve_to_x,125,0.011217437218874693,0.01293342188000679,0.8401857018470764
inverse_curve_to_x,150,0.0047856729361228645,0.0022589084692299366,0.8306982517242432
inverse_curve_to_x,175,0.0029548181919381022,0.0022151123266667128,0.8038092851638794
inverse_curve_to_x,200,0.00011894857743754983,0.00024022253637667745,0.8234580159187317
inverse_curve_to_x,225,0.0003073003317695111,0.00034692720510065556,0.8022767305374146
inverse_curve_to_x,250,0.000827196316095069,0.0006231966544874012,0.7965583205223083
inverse_curve_to_x,275,0.004331710049882531,0.004686171188950539,0.782924234867096
inverse_curve_to_x,300,0.043121946044266224,0.013646875508129597,0.8068302869796753
