epoch,train_total,train_curve,train_physics,train_smoothness,train_force_monotonic,train_displacement_monotonic,val_total,val_curve,val_physics,val_smoothness,val_force_monotonic,val_displacement_monotonic
1,0.7105116975535253,0.7103513488344326,0.0,0.14231768307412507,0.01803032520470346,0.02755427565544274,0.3006826686304669,0.3001748365718265,0.0,0.46975644535796585,0.03807856191036313,0.09920146434113036
2,0.24253231792882748,0.24215458263732065,0.0,0.34173801323031167,0.03599705800034438,0.06661918147164546,0.14500451836475106,0.14483497052691705,0.0,0.15410904350668886,0.015437782937011053,0.026828212031098298
3,0.12835973156200853,0.12816681207934763,0.0,0.17157079648629875,0.021348239320098973,0.02685198308722039,0.09263548031449317,0.09256103002401285,0.0,0.06781766021320987,0.006633176197579434,0.009798020917142547
4,0.08093647887799771,0.08079080855011181,0.0,0.12909706360215595,0.01657326039591223,0.01843119679125631,0.05974868014454841,0.059693183247433154,0.0,0.050081712977830754,0.005416919206550648,0.006119344548084015
5,0.054629783398786165,0.05450554154101451,0.0,0.11014891132047981,0.01409241906634182,0.014956128889113475,0.04622816489359667,0.04618710989868918,0.0,0.03675772215044776,0.004297875898868538,0.003671063418868323
6,0.04171707231290401,0.04160926019072912,0.0,0.09575865457581867,0.012053606089702837,0.012687973324565371,0.038760858185069504,0.0387274733982807,0.0,0.029718778888846553,0.0036655816141256065,0.002478510283236933
7,0.03367183940235976,0.03357637067960136,0.0,0.08484696276533375,0.010621547679399039,0.010910309529655679,0.031747057626760285,0.031721781956595044,0.0,0.022513590831049653,0.002762215797854371,0.0017626909078856886
8,0.028552488356259217,0.028465033956109338,0.0,0.07779929224093249,0.009655288589086123,0.009852229522624214,0.027539192313371704,0.027518332151826037,0.0,0.01853545350997254,0.002324521829655697,0.0012464288237699589
9,0.02628361664617517,0.026203141770782364,0.0,0.07152221793676637,0.00895238330374193,0.008825664667139767,0.029978050274211306,0.02996067699304847,0.0,0.015428941445641739,0.001944717441598863,0.0009621536914194219
10,0.023287679767532713,0.023212511268011323,0.0,0.06692242525565396,0.00824620985206525,0.008142056462064291,0.026992981984864835,0.02697646416030651,0.0,0.014700063751187436,0.0018177609782406064,0.0008256654252384811
11,0.022449660460185854,0.022379505121783844,0.0,0.06248302360533909,0.007672430990133316,0.007500624656084047,0.024739684848937876,0.02472603378254314,0.0,0.012177078971682593,0.0014743752685527122,0.0006572359068275884
12,0.020220470017973027,0.020154072292101612,0.0,0.05913284815800418,0.007264803978762809,0.006974133840839195,0.02962442769040895,0.02961254030639349,0.0,0.010633266171397164,0.001254063775643793,0.0005739471978009787
13,0.01996578647381371,0.019903173458993815,0.0,0.05584257041477853,0.006770321558330469,0.006499718554958606,0.023800026781337205,0.023788172318491826,0.0,0.010611425682382528,0.001243314644603362,0.0005090773289719987
14,0.01797918378950874,0.0179185565003449,0.0,0.054067183959825786,0.006560094919720083,0.006203558878486703,0.02425722340771625,0.024246683248946833,0.0,0.009443186936076991,0.0010965845217321849,0.00043073097490272375
15,0.016098972651988838,0.01604094715539817,0.0,0.05177130954470604,0.0062541684325618345,0.005878458805619532,0.02260575977608908,0.022595446283907392,0.0,0.009243864438301603,0.0010699033406887982,0.00039887133224997235
16,0.016812923293157367,0.016756387727607968,0.0,0.0504473773584624,0.006088262751912045,0.00566851716358096,0.022920813814325387,0.02291159958600305,0.0,0.008304132991145517,0.0009101440174353504,0.0003366290142239873
17,0.014820545573665458,0.01476657096130453,0.0,0.04816705654760835,0.005807612212908686,0.00533822091432751,0.02325625935526088,0.023247743887436945,0.0,0.007675666886186877,0.0008400801837249377,0.0003021665867742931
18,0.01424490977909155,0.014192565707311889,0.0,0.04672205701565287,0.005622050727296407,0.005121613677685997,0.021883829457815304,0.021875824744618216,0.0,0.007231509447271048,0.0007734975393125138,0.0002825281113727278
19,0.014111992678824504,0.014060784131288528,0.0,0.0456918595607873,0.005516734069130223,0.004965500382908211,0.023690402798008086,0.023683045557591806,0.0,0.006657593731963357,0.0007000175077294887,0.0002437953772239907
20,0.014072294120386148,0.01402277956912472,0.0,0.044166559616851196,0.005348054227674273,0.004726864996656871,0.021340840946623058,0.021333204526021037,0.0,0.006921231445618147,0.0007149629254262288,0.0002397410508629671
21,0.012965616754665496,0.012917687634753573,0.0,0.042811930056210534,0.0051172176221753385,0.004573573371407333,0.020794437375179557,0.020787945736286253,0.0,0.00590221801296223,0.0005894959749935498,0.0001932503904627506
22,0.01575146354378978,0.015704259355878755,0.0,0.04209457088712674,0.005109664412796687,0.004428857076426695,0.01972648632647686,0.019720385037362575,0.0,0.00555783283008739,0.0005432882569567841,0.00017966531856028839
23,0.012385307828996592,0.0123392192041798,0.0,0.04118798011617296,0.0049007465445976344,0.0043287832123838415,0.020071028658123904,0.020065191816971747,0.0,0.005329038824366275,0.0005078287387732417,0.00015947875325827924
24,0.013009361129040551,0.012964819622030303,0.0,0.03981328567928949,0.004728157805860232,0.004129072849692148,0.02028660480539466,0.020280957538201364,0.0,0.005161477673019088,0.00048552882752034727,0.00014255593427955064
25,0.011656484037495344,0.011612865153795025,0.0,0.038950633518635085,0.004668204896863859,0.003949601783055314,0.01933980819357689,0.019334218048945417,0.0,0.005099651711278183,0.0004903880402792332,0.000139499775020319
26,0.011078590681408622,0.011035894857612765,0.0,0.03816510622573506,0.004530594307205574,0.003899474801780407,0.018846068873481694,0.01884077814689209,0.0,0.004832710881262671,0.0004582135844704977,0.00012201546995256226
27,0.011463268378239338,0.011421367441226913,0.0,0.03743772656437318,0.004463289760551445,0.0037876527714928625,0.018600524320851925,0.01859552896646566,0.0,0.0045731712847428265,0.0004222238604195936,0.00011750828690669868
28,0.010509355684184724,0.01046823513379712,0.0,0.03674309731573815,0.004377437578988778,0.0036972087873205256,0.018485729370352835,0.018480957104542922,0.0,0.004372861508150087,0.00039944333879840234,0.00010815229971465373
29,0.010484845608852471,0.01044429033745531,0.0,0.03625324068080847,0.0043019587257105835,0.0036199783316107504,0.019129392548009407,0.019124894849089687,0.0,0.0041316126873933295,0.00036640786877183547,9.90819632343753e-05
30,0.010564091550126957,0.010524589335842497,0.0,0.03530166725017083,0.004200523482801713,0.0034857745024310365,0.019026035629212856,0.019021465876247992,0.0,0.004205180191283309,0.0003642131885795226,9.468270937484408e-05
31,0.010138144300194683,0.010098880236363334,0.0,0.03513077448128135,0.004133255950584533,0.003489129934875164,0.01834743550523769,0.018343292150733083,0.0,0.0038218413176404876,0.0003215530194168867,8.694122526469792e-05
