epoch,train_total,train_noise,train_x0,train_class,train_param,train_closed_loop,val_total,val_noise,val_x0,val_class,val_param,val_closed_loop,val_select
1,5.058309078216553,1.1844131231307984,1.6823323965072632,6.740586280822754,0.4932634890079498,0.7009823560714722,3.964728498458862,1.1185652256011962,1.4027074575424194,4.834169864654541,0.4210060954093933,0.5217663764953613,7.179649794101715
2,3.4800696849822996,1.0100382328033448,1.3011736631393434,4.066511249542236,0.4207158088684082,0.5459560632705689,2.7895272731781007,0.8407180309295654,1.026076602935791,3.131312370300293,0.3688939273357391,0.5216455459594727,5.047928446531295
3,2.7880151748657225,0.8466785907745361,1.0225783228874206,3.0877591133117677,0.37689130902290346,0.4912897884845734,2.3623175621032715,0.7663211464881897,0.9360244274139404,2.4815311431884766,0.3379187107086182,0.3920810878276825,4.1475553691387175
4,2.256087064743042,0.7867419958114624,0.882936704158783,2.22860324382782,0.3325510025024414,0.3903746962547302,2.0616429805755616,0.7366531491279602,0.7350836157798767,2.05565767288208,0.27772862613201144,0.3451847076416016,3.4136546224355695
5,1.994016456604004,0.7042461991310119,0.7288492679595947,1.9428969621658325,0.2932685375213623,0.36440234184265136,1.6494171619415283,0.6370778441429138,0.531600046157837,1.5061118125915527,0.2415454089641571,0.2535543769598007,2.5328116446733473
6,1.7377007961273194,0.629416537284851,0.5591151475906372,1.6528723239898682,0.2578122943639755,0.2980774700641632,1.4686963319778443,0.5628978133201599,0.4304469466209412,1.3543946266174316,0.210528963804245,0.22124967575073243,2.2166202127933503
7,1.6940776109695435,0.5809809446334839,0.5133387506008148,1.6878888130187988,0.2446619153022766,0.25317409336566926,1.6001512289047242,0.5551953792572022,0.4479897081851959,1.6187533259391784,0.21631363928318023,0.18654288947582245,2.469599562883377
8,1.5993964195251464,0.5734396815299988,0.4757718026638031,1.5545452117919922,0.224299618601799,0.2124153733253479,1.3065531492233275,0.5396195411682129,0.3934760570526123,1.1327079772949218,0.182803013920784,0.14152944684028626,1.8505164951086044
9,1.4914902210235597,0.5666652917861938,0.406613689661026,1.4262197732925415,0.1886914163827896,0.1761892169713974,1.318774676322937,0.547594678401947,0.34590672254562377,1.176739263534546,0.16598983705043793,0.11476326286792755,1.8033990859985354
10,1.4454915285110475,0.5540847539901733,0.3861971437931061,1.3660171747207641,0.18490721583366393,0.15812594890594484,1.3157328128814698,0.4966431260108948,0.36196274757385255,1.2663269758224487,0.16760988235473634,0.1059114620089531,1.9018110677599906
11,1.3464882612228393,0.5503846764564514,0.3678918480873108,1.196769642829895,0.17477701902389525,0.13324319273233415,1.174833559989929,0.49806818962097166,0.33135356307029723,1.0147995948791504,0.15182746350765228,0.08754096031188965,1.5855215817689896
12,1.3488888502120973,0.5389320731163025,0.3731589734554291,1.2221993923187255,0.17395321726799012,0.13056322038173676,1.018600296974182,0.5039283752441406,0.2888116240501404,0.6981261253356934,0.14778026044368744,0.08727868646383286,1.2219966962933542
13,1.2785415172576904,0.5308034181594848,0.3531941413879395,1.1016492605209351,0.17101970613002776,0.12672456353902817,1.0737369060516357,0.4863701224327087,0.3102064490318298,0.8325759649276734,0.15126213431358337,0.08558210581541062,1.3796266540884972
14,1.278453540802002,0.5127517580986023,0.3574865639209747,1.130303430557251,0.17329061925411224,0.12038695812225342,1.0142632961273192,0.4877062559127808,0.30687815248966216,0.6987866878509521,0.15721314251422883,0.07518206685781478,1.238060049712658
15,1.214391326904297,0.516134238243103,0.3332074820995331,1.003169798851013,0.16982970237731934,0.10931240171194076,1.066170859336853,0.5095594525337219,0.28763667941093446,0.7803016662597656,0.147210556268692,0.06448481380939483,1.279633715748787
16,1.202634596824646,0.5113147616386413,0.32988996505737306,0.9937429070472718,0.16624155044555664,0.10722306072711944,1.0038689851760865,0.45507428646087644,0.28956058621406555,0.7588258862495423,0.14759443700313568,0.07289205938577652,1.26887296885252
