sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,secant_change_ratio,max_linearity_error,force_final,expected_final_load,disp_final,disp_min,disp_max,nonmonotonic_segments,nonmonotonic_step_count,max_displacement_drop,total_displacement_drop,snap_like_response,strain_energy_total_final,strain_energy_total_max,strain_energy_crease_final,strain_energy_crease_max,strain_energy_panel_final,strain_energy_panel_max,max_bar_stress_final,max_bar_stress_max,max_bar_strain_final,max_bar_strain_max,max_crease_moment_final,max_crease_moment_max,max_crease_rotation_final,max_crease_rotation_max
miura_00001,miura,1,0,bending,0.3,133869.551931075,49976.295743060495,0.626679143822102,0.31195544442031475,0.6265340438930327,1.6786609519706865,2008.04327896612,2008.04327896612,0.0401799142795602,0.0001875728762839,0.0401799142795602,0,0,0.0,0.0,False,51.9594605441153,51.9594605441153,12.4063867218188,12.4063867218188,39.5530738222964,39.5530738222964,32160391.1096574,32160391.1096574,0.0100004789477889,0.0100004789477889,4.9559048179608,4.9559048179608,6.19008507796291,6.19008507796291
miura_00001,miura,1,1,bending,0.6,40705.0730782034,38712.42117922886,0.048953404288114545,0.01528081370184166,0.04894081349534529,0.05147319227978678,610.576096173051,610.576096173051,0.0157720978841968,0.0001875024822902,0.0157720978841968,0,0,0.0,0.0,False,4.92870742632335,4.92870742632335,0.123335590537961,0.123335590537961,4.80537183578539,4.80537183578539,19818841.1969913,19818841.1969913,0.006162795206199,0.006162795206199,1.45472994541101,1.45472994541101,5.7983248223457,5.7983248223457
miura_00001,miura,1,2,bending,0.9,18639.255146931,18734.461470276186,0.0051078394814968835,0.0015264300894601195,0.005106567725784883,0.005081882043753496,279.588827203965,279.588827203965,0.0149237717693437,0.0001874997627576,0.0149237717693437,0,0,0.0,0.0,False,2.08115637649287,2.08115637649287,0.0027987604114772,0.0027987604114772,2.07835761608139,2.07835761608139,22071116.6440256,22071116.6440256,0.0068631546364027,0.0068631546364027,0.716769980591353,0.716769980591353,5.06055946877839,5.06055946877839
miura_00001,miura,1,3,axial,0.3,12418.981920453,13326.201341587981,0.07305103002371466,0.020683649499441438,0.0733212332557982,0.06807787139638657,186.284728806795,186.284728806795,0.0139788319290542,0.0001875472140696,0.0139788319290542,0,0,0.0,0.0,False,1.26992824598334,1.26992824598334,1.03426168621749,1.03426168621749,0.23566655976585,0.23566655976585,10865669.8333394,10865669.8333394,0.003378749407973,0.003378749407973,0.42460372830415,0.42460372830415,6.05770588795017,6.06872038087295
miura_00001,miura,1,4,axial,0.6,23592.906128434,28514.70108473404,0.20861334036201368,0.055099847409619734,0.20763465006407666,0.17260552518767341,353.89359192651,353.89359192651,0.0124109171221849,0.0001873481694478,0.0124109171221849,0,0,0.0,0.0,False,2.05345577761434,2.05345577761434,1.37435636514413,1.37435636514413,0.679099412470217,0.679099412470217,14135593.1652874,14135593.1652874,0.0043955529452972,0.0043955529452972,0.807258205056299,0.807258205056299,5.79124867722428,5.79124867722428
miura_00001,miura,1,5,axial,0.9,250199.689454778,477124.5987037503,0.9069751834763469,0.17411070078323002,0.8818029182475711,0.4756093269252533,3752.99534182167,3752.99534182167,0.0078658600961212,0.0001850249810426,0.0078658600961212,0,0,0.0,0.0,False,11.9772278004367,11.9772278004367,2.24399868725304,2.24399868725304,9.73322911318366,9.73322911318366,38066492.7555138,38066492.7555138,0.0118370189628496,0.0118370189628496,2.28636848516687,2.28636848516687,5.06153504106847,5.06153504106847
miura_00002,miura,1,0,bending,0.3,383991.359302586,277307.73585549655,0.27782818769893863,0.08970519057479609,0.2778059079413082,0.38471203523395997,5759.87038953879,5759.87038953879,0.0207706805285094,0.0001875057845716,0.0207706805285094,0,0,0.0,0.0,False,69.5573863050175,69.5573863050175,9.12751574212083,9.12751574212083,60.4298705628967,60.4298705628967,82967901.5871484,82967901.5871484,0.0235315978884918,0.0235315978884918,7.55805513242502,7.55805513242502,6.03988316906484,6.06962259599118
miura_00002,miura,1,1,bending,0.6,167436.945540865,153898.21131200463,0.0808587028694697,0.025006366879611223,0.08072577159906658,0.08797200508986236,2511.55418311297,2511.55418311297,0.0163195800763479,0.0001875271172814,0.0163195800763479,0,0,0.0,0.0,False,21.2893374927066,21.2893374927066,0.661877234808599,0.661877234808599,20.627460257898,20.627460257898,73333240.8401323,73333240.8401323,0.0207989873468997,0.0207989873468997,4.69927575008031,4.69927575008031,5.77360957694193,5.78101124316384
miura_00002,miura,1,2,bending,0.9,50796.9204307806,50669.31218221171,0.002512125685705243,0.0007349013063440669,0.002483496729300927,0.0025184523545533563,761.953806461709,761.953806461709,0.0150377767853183,0.0001875053814482,0.0150377767853183,0,0,0.0,0.0,False,5.73297348534666,5.73297348534666,0.0206901174847256,0.0206901174847256,5.71228336786194,5.71228336786194,44906696.6246104,44906696.6246104,0.0127365680854403,0.0127365680854403,1.94728767387225,1.94728767387225,5.05441191441153,5.05441191441153
miura_00002,miura,1,3,axial,0.3,27604.6091651444,30018.779836698923,0.08745534693542523,0.02417741904934371,0.08689564901742641,0.08042201197675336,414.069137477166,414.069137477166,0.0137936698203487,0.0001874034963965,0.0137936698203487,0,0,0.0,0.0,False,2.77803832666296,2.77803832666296,2.31895442807743,2.31895442807743,0.459083898585531,0.459083898585531,9472575.76647378,9472575.76647378,0.0026866395273453,0.0026866395273453,0.6215815180762,0.6215815180762,6.030772508568,6.06850459992797
miura_00002,miura,1,4,axial,0.6,55164.2092642921,64420.78158471225,0.16780032640496756,0.04485412510399726,0.166082458873966,0.14368922718281382,827.463138964382,827.463138964381,0.0128446615922578,0.0001872241821613,0.0128446615922578,0,0,0.0,0.0,False,5.03616196379826,5.03616196379826,2.90085427942314,2.90085427942314,2.13530768437511,2.13530768437511,15020148.1742475,15020148.1742475,0.0042600581706974,0.0042600581706974,1.58614014405844,1.58614014405844,5.73975528984862,5.78041797912013
miura_00002,miura,1,5,axial,0.9,408322.029621885,596298.6635771367,0.46036368434326735,0.10649706783218203,0.4512420226074181,0.3152390663222327,6124.83044432827,6124.83044432827,0.0102714140051665,0.0001863288454487,0.0102714140051665,0,0,0.0,0.0,False,27.7572372894402,27.7572372894402,3.54024571541536,3.54024571541536,24.2169915740248,24.2169915740248,42747978.4623039,42747978.4623039,0.0121243061530757,0.0121243061530757,3.53657490737356,3.53657490737356,5.01254666243519,5.05281008650497
miura_00003,miura,1,0,bending,0.3,501290.919216185,179346.59597840777,0.64223051105966,0.2909511202079893,0.6421459259863929,1.7950958114451045,7519.36378824278,7519.36378824277,0.0419264371716766,0.0001875443293845,0.0419264371716766,0,0,0.0,0.0,False,214.561418251752,214.561418251752,55.1459794378653,55.1459794378653,159.415438813887,159.415438813887,176071557.064103,176071557.064103,0.0389606240744864,0.0389606240744864,15.3042642267854,15.3042642267854,6.08576448242826,6.09904760577381
miura_00003,miura,1,1,bending,0.6,148242.860099923,137698.2365714969,0.07113073453465825,0.02220983583651597,0.07108718553700466,0.07657776737722449,2223.64290149885,2223.64290149885,0.0161486665106584,0.000187508790728,0.0161486665106584,0,0,0.0,0.0,False,18.5831183686662,18.5831183686662,0.56679204918394,0.56679204918394,18.0163263194822,18.0163263194822,75269147.280767,75269147.280767,0.0166553474082441,0.0166553474082441,4.43556562069299,4.43556562069299,5.80507674641092,5.80507674641092
miura_00003,miura,1,2,bending,0.9,42065.6466622647,42174.80019879099,0.002594837954178102,0.0007886083837726355,0.002596043983262186,0.002588122196472629,630.98469993397,630.98469993397,0.0149611781670529,0.0001875002255452,0.0149611781670529,0,0,0.0,0.0,False,4.71369948737277,4.71369948737277,0.0121553120920138,0.0121553120920138,4.70154417528075,4.70154417528075,47721307.1141105,47721307.1141105,0.0105596380120559,0.0105596380120559,1.69591013489748,1.69591013489748,5.06071622230414,5.06071622230414
