model,epoch,batch_train_mse,train_mse,test_mse
forward_x_to_curve,1,0.3370107860512035,0.13746565580368042,2.507061531246592e+16
forward_x_to_curve,25,0.011261697370962352,0.009742246940732002,2.507061531246592e+16
forward_x_to_curve,50,0.007381253954687506,0.004625115543603897,2.507061531246592e+16
forward_x_to_curve,75,0.0038779489298582455,0.003900946583598852,2.507061531246592e+16
forward_x_to_curve,100,0.002391907425781202,0.0028883374761790037,2.507061531246592e+16
forward_x_to_curve,125,0.0023819942623495485,0.0018265624530613422,2.507061531246592e+16
forward_x_to_curve,150,0.0018000597938017291,0.0024385564029216766,2.507061531246592e+16
forward_x_to_curve,175,0.0020494391027968497,0.0015592474956065416,2.507061531246592e+16
forward_x_to_curve,200,0.0021182203832954454,0.0018104203045368195,2.507061531246592e+16
forward_x_to_curve,225,0.0014053219781037728,0.001353885279968381,2.507061531246592e+16
forward_x_to_curve,250,0.0016405477148486644,0.00230585690587759,2.507061531246592e+16
forward_x_to_curve,275,0.0007986729054053308,0.0008624102338217199,2.507061531246592e+16
forward_x_to_curve,300,0.00108296127791908,0.0008800644427537918,2.507061531246592e+16
inverse_curve_to_x,1,0.380554714476227,0.2493000328540802,0.3804253041744232
inverse_curve_to_x,25,0.13251980202403038,0.1379290670156479,0.31149157881736755
inverse_curve_to_x,50,0.11281911943368851,0.10318584740161896,0.3247342109680176
inverse_curve_to_x,75,0.09786119518006683,0.08709987252950668,0.38021448254585266
inverse_curve_to_x,100,0.08094820825584755,0.06968975067138672,0.3534912168979645
inverse_curve_to_x,125,0.06767138337633412,0.058958109468221664,0.3751668632030487
inverse_curve_to_x,150,0.05617629836793918,0.047519780695438385,0.404497355222702
inverse_curve_to_x,175,0.04452298720171497,0.0390884168446064,0.4179864823818207
inverse_curve_to_x,200,0.0437710148988256,0.036293841898441315,0.4433783292770386
inverse_curve_to_x,225,0.033276661193579624,0.028121428564190865,0.43358373641967773
inverse_curve_to_x,250,0.030882752264381214,0.024599846452474594,0.4811171889305115
inverse_curve_to_x,275,0.03435709710665949,0.022738901898264885,0.4510219097137451
inverse_curve_to_x,300,0.020931375396859114,0.016795719042420387,0.47402021288871765
