epoch,train_total,train_curve,train_physics,val_total,val_curve,val_physics
1,0.022702667947597566,0.009852723320530858,0.2569988907522457,0.029097455410763275,0.018363731120561444,0.21467448375945866
2,0.015571788043543032,0.00867667702163101,0.1379022164709249,0.020458415211286655,0.015493633918637452,0.09929562592229178
3,0.012481805810313315,0.00869117127968722,0.07581268876411353,0.01851364892236022,0.015266287924591886,0.06494721941823182
4,0.010408158395083467,0.007693800058476864,0.054287165132867306,0.017232065331623997,0.014641936783960393,0.05180257182828216
5,0.010199845829017602,0.007995673833165769,0.044083438937071784,0.018673922727967418,0.016428332920944276,0.044911798245685045
6,0.009669521768951111,0.007787712131905707,0.03763619087114456,0.019550908703443615,0.01753067500716032,0.04040467198504958
7,0.009842220072154026,0.008178320443435649,0.033277992849611936,0.018490901637042676,0.01669700950124236,0.03587784560960393
8,0.00929189431807323,0.0077871829597576025,0.030094227127161376,0.017683281665018133,0.01599764373413352,0.03371275313371836
9,0.008689644334802203,0.007315192879385249,0.027489028349044216,0.016883132021960824,0.01531584446946549,0.031345751387781874
10,0.009211151854722363,0.00790849538211515,0.026053129295539705,0.017174183464674062,0.01571661873482341,0.029151292361838874
11,0.008360070308112795,0.007153300647950097,0.024135393015803044,0.01809978600331517,0.01668808779484311,0.02823396806800088
12,0.008343058769964868,0.007195654647887512,0.02294808194207348,0.016032618058975354,0.014707612930688747,0.0265001000100097
13,0.00832564348093928,0.00723480438920343,0.02181678096508714,0.015556416422301947,0.01423797082415847,0.026368908835358397
14,0.008238506601874236,0.0071913101538351384,0.020943928813668574,0.016045589576107126,0.014814917734542559,0.02461344014073527
15,0.007835052358757729,0.006823223422334832,0.0202365771766491,0.016536372215595355,0.015375589354093685,0.023215655583974926
16,0.007793628972522013,0.00681853149038781,0.01950195036164135,0.014913040616138037,0.013805188048024511,0.0221570509897415
17,0.007661659474585466,0.006713736431590121,0.018958460413821186,0.016585806207081607,0.015460631647688705,0.022503490772011667
18,0.007852824949392467,0.0069292941326453425,0.018470615309894464,0.01495678411406833,0.013907360400311475,0.020988478173696718
19,0.007774995056212328,0.00687848383406545,0.01793022389007602,0.015912347126665505,0.01486958216789157,0.020855298378439836
20,0.00797571596232759,0.007096623191550659,0.017581856326692423,0.016388699654922928,0.015384378492139106,0.02008642260591651
21,0.008168939480878365,0.007314360126330974,0.01709158708027024,0.015388994252439156,0.01436922000071337,0.020395486559285674
22,0.00881262146007673,0.007961897045421372,0.017014488072437085,0.01703362272142671,0.0160262091908344,0.0201482666266519
23,0.007389518327322925,0.006570010782059306,0.016390150642485186,0.014991135206506696,0.014052885536884153,0.01876499398156654
24,0.007027495105507647,0.006234884482755023,0.01585221217268971,0.014568102632670901,0.01363501320917939,0.018661788348541705
25,0.007364624180492892,0.006581127835781711,0.015669926398309175,0.014750249332986598,0.013861408140943493,0.017776823191102162
26,0.007111948849574016,0.006352018930943339,0.015198597438918177,0.01467704810635295,0.013770710809026346,0.01812674558266651
27,0.006936738362452786,0.006192541802835882,0.014883930874383373,0.01640669283738663,0.015484239475065192,0.01844906592525022
28,0.007114869219126406,0.006382179614986963,0.014653791953471437,0.015836852312434552,0.014930171766426675,0.018133605210933573
29,0.006848821703012392,0.006132393813792877,0.01432855767168247,0.01536678158959677,0.01450437102899995,0.017248209786796292
30,0.007106343974733049,0.006399284789611579,0.01414118362412711,0.014467110582302475,0.013640409170888192,0.016534029029656287
31,0.00680198956779234,0.006116503395235083,0.013709723084548096,0.01509523490487143,0.014262786204385203,0.016648972614906554
32,0.007313486443725741,0.006627380972502718,0.0137221103166319,0.014971369500596856,0.01412851003453482,0.016857192383775876
33,0.006872663948874754,0.006209393804833578,0.013265402406264263,0.014475280587929625,0.013669267478723858,0.0161202636395776
34,0.006628349615605014,0.005975886476433771,0.013049262690885811,0.015310362518526787,0.014490719039946101,0.01639286844103142
35,0.006410834679652931,0.005769092207596561,0.012834848990296103,0.013883118604331515,0.013090220585378797,0.015857961059136446
36,0.006405976612215779,0.005778326767728112,0.012552997040425895,0.013965235085248254,0.013170944368683322,0.015885812135110068
37,0.00649034911944608,0.005865118728511652,0.012504607695303146,0.015103620754251647,0.01433823891850405,0.015307637728577437
38,0.007101395956958365,0.0064704980849507885,0.01261795713880639,0.016116409597181997,0.015344245073407195,0.01544328978241876
39,0.006731321335218515,0.006118601273187692,0.012254400039981505,0.015086567713770755,0.014362903571752616,0.014473281471535216
40,0.006434865189111157,0.00583962679419453,0.011904768675423352,0.014853925060827371,0.014095196974745323,0.015174565862777621
41,0.006417190402176729,0.005828563903405029,0.011772530547277943,0.012985354120474916,0.012275723435071318,0.01419261138193136
42,0.006189274519776842,0.005609208313380457,0.011601323091015693,0.014258873272080754,0.013549719681573468,0.014183073230954104
43,0.006481899340061625,0.005908520957514359,0.011467567468240004,0.013920583131961352,0.013239193683880013,0.01362779144804145
44,0.0062631618456950615,0.005697169604230743,0.011319844505992854,0.013948157269421012,0.01330023318269225,0.0129584799932186
45,0.006113372768933891,0.005556965463610876,0.011128145574953905,0.013915232811556306,0.01324310508491688,0.013442555199875387
46,0.006140983781249375,0.005592858053708247,0.01096251487411606,0.013438489374726317,0.01277874274136022,0.013194931129556756
47,0.0063045788603793285,0.005762238834931213,0.010846799742549089,0.013439153637303863,0.012772623458227446,0.013330608563021172
48,0.0061862328205447474,0.005651656128644089,0.010691533857588744,0.013715171112224114,0.013030655829365863,0.013690308043949826
49,0.005974069465497497,0.0054500380068258115,0.010480629055980285,0.013498150299541479,0.012822027820660624,0.013522451279988123
50,0.006091684357791095,0.005571765416438223,0.01039837970143291,0.01630076856547317,0.015620463685847298,0.013606097696478976
