epoch,train_total,train_noise,train_x0,train_class,train_param,train_closed_loop,val_total,val_noise,val_x0,val_class,val_param,val_closed_loop,val_select
1,3.8871160984039306,1.1685182332992554,1.649612593650818,4.459634590148926,0.48208367824554443,0.6756021857261658,2.925840663909912,1.0310877323150636,1.259700870513916,2.9723309516906737,0.4036740124225616,0.48380868434906005,5.119514518976211
2,2.5960410594940186,0.9173173785209656,1.1297757387161256,2.554747772216797,0.39165626764297484,0.5043364703655243,1.9456598281860351,0.73528972864151,0.8235130071640014,1.7576282501220704,0.32359103560447694,0.439554899930954,3.3442871928215028
3,1.999050211906433,0.7508281946182251,0.8230059146881104,1.8201703548431396,0.3266926944255829,0.4128342688083649,1.5001120567321777,0.6468932867050171,0.6899448871612549,1.1372460842132568,0.275962108373642,0.29486823081970215,2.398021310567856
4,1.629661464691162,0.6644213318824768,0.63690185546875,1.3677106618881225,0.26987868547439575,0.3073888421058655,1.3629956483840941,0.6026264429092407,0.42738284468650817,1.0949357986450194,0.20516392290592195,0.20692722797393798,1.9344097942113876
5,1.3889535665512085,0.6009520173072815,0.4825423717498779,1.1015095233917236,0.22583059668540956,0.2495079070329666,1.1955205202102661,0.5734816431999207,0.369365257024765,0.8668339729309082,0.18129449784755708,0.14582833647727966,1.56332206428051
6,1.2905141353607177,0.5767331600189209,0.4185567021369934,1.0159493923187255,0.19539751410484313,0.17711326479911804,1.1322889566421508,0.5259878516197205,0.3470005452632904,0.8852403044700623,0.1564962387084961,0.1083104968070984,1.497047585248947
7,1.277829885482788,0.5416115283966064,0.4039326310157776,1.0680210590362549,0.1911621630191803,0.15552849173545838,1.1613063216209412,0.5111372470855713,0.34237979650497435,0.9513965129852295,0.1660246580839157,0.11088440120220185,1.5706853687763216
8,1.1962147951126099,0.5344579696655274,0.38912935853004454,0.9318704247474671,0.18407041132450103,0.14163315594196318,1.0383418083190918,0.5129549860954284,0.3420299172401428,0.7125890374183654,0.15994173288345337,0.10092513412237167,1.3154858216643333
9,1.1367618322372437,0.5334931135177612,0.3587833642959595,0.844217324256897,0.1687321037054062,0.13483317643404008,1.0432938575744628,0.5098238527774811,0.3208633542060852,0.7295289278030396,0.15872758328914643,0.10037807822227478,1.3094979435205458
10,1.1332973003387452,0.517791211605072,0.34947267174720764,0.8583184242248535,0.17310819625854493,0.12794531583786012,0.968305480480194,0.4598629117012024,0.3183242917060852,0.6728196382522583,0.16189278960227965,0.08584137856960297,1.2388780981302263
11,1.063450527191162,0.5151378273963928,0.3335193991661072,0.741349971294403,0.1648242026567459,0.10633337199687957,0.9494359374046326,0.46527898907661436,0.3013443827629089,0.6520593881607055,0.1481270968914032,0.07313409894704818,1.1746649667620659
