name,epochs,best_val_total,best_epoch,last_val_total,best_train_total
h192_d0p08_lr0p0002,400,0.0005621241638436,383,0.0006103532155975,0.0084478353150188
h192_d0p08_lr0p00015,400,0.0006243144860491,382,0.0007109464611858,0.0089864725247025
h256_d0p10_lr0p0002,378,0.000650775374379,308,0.0008218451868742,0.0085163966752588
h192_d0p10_lr0p0002,361,0.0006772441789507,291,0.0007921963231638,0.0102350078523159
