epoch,train_total,train_curve,train_physics,train_smoothness,train_force_monotonic,train_displacement_monotonic,val_total,val_curve,val_physics,val_smoothness,val_force_monotonic,val_displacement_monotonic
1,0.3906704805791378,0.3801590409874916,0.21022704482078552,8.660392229558056e-06,0.0,0.0,0.16288139522075654,0.15481280028820038,0.16136743485927582,2.2435685095842928e-05,0.0,0.0
2,0.10950725197792054,0.10327857874333858,0.12456285625696183,5.308796968165552e-05,0.0,0.0,0.07013614863157272,0.06542554572224617,0.09419764339923858,7.203107146779075e-05,0.0,0.0
3,0.0602274864166975,0.056127698868513105,0.08197630435228348,9.725712428917178e-05,0.0,0.0,0.0467859859764576,0.04358312383294106,0.06403614014387131,0.00010544905322603881,0.0,0.0
4,0.04268528845161199,0.03967876305803657,0.06010530911386013,0.00012602947186678647,0.0,0.0,0.03246685855090618,0.030129958018660544,0.04671087175607681,0.00013569429866038262,0.0,0.0
5,0.03226943630725145,0.029876339193433524,0.04783055514097214,0.00015693332126829774,0.0,0.0,0.03529255777597427,0.0334076739102602,0.03766486167907715,0.00016403865709435194,0.0,0.0
6,0.026573131941258907,0.02457984086126089,0.03983022339642048,0.00017801754467654973,0.0,0.0,0.02048354037106037,0.019027172476053237,0.029091357588768005,0.000179983131820336,0.0,0.0
7,0.022159294690936804,0.020455178786069155,0.034044075421988965,0.00019119854521704838,0.0,0.0,0.016489540040493012,0.015255740582942963,0.024640322029590607,0.0001783424476161599,0.0,0.0
8,0.018857910986989735,0.017336675077676774,0.03038716722279787,0.00018775491422275083,0.0,0.0,0.02234618604183197,0.021181598156690597,0.023257195204496383,0.00017286390648223459,0.0,0.0
9,0.016590298749506474,0.015191242266446352,0.027944578789174557,0.00018274983594892546,0.0,0.0,0.013439750224351883,0.012474907487630844,0.0192613211274147,0.00017766910488717258,0.0,0.0
10,0.014330167323350906,0.013058395842090249,0.025398123562335968,0.00018654030369361863,0.0,0.0,0.010157844852656125,0.009324866104871035,0.016625194735825063,0.00017193199251778425,0.0,0.0
11,0.012790912082418799,0.011608113488182425,0.023620688505470753,0.00017642237100517377,0.0,0.0,0.012707223109900951,0.011869472898542881,0.016725234985351563,0.00014885165786836295,0.0,0.0
12,0.012971733398735523,0.011856917096301912,0.022263000793755053,0.00016663330141454934,0.0,0.0,0.01516728263348341,0.014436011165380479,0.014593092948198319,0.00016166562971193344,0.0,0.0
13,0.011681753899902106,0.010623597903177143,0.021132128350436687,0.00015496103442274033,0.0,0.0,0.010374584402889013,0.009664072394371033,0.014181461445987224,0.00014389055431820452,0.0,0.0
14,0.009351176945492624,0.008359733931720258,0.019798035137355327,0.00015412054723128676,0.0,0.0,0.008608558904379606,0.007972770305350423,0.012687989845871925,0.0001389114052290097,0.0,0.0
15,0.00929940665140748,0.008346644733101129,0.019025173876434563,0.0001503223687177524,0.0,0.0,0.009575612135231495,0.00899455713108182,0.011592617146670819,0.00014241571188904344,0.0,0.0
