MAE,RMSE,R2,NRMSE%,Model,Group,N
1160.7540546951568,2432.9208891733547,0.9997058376850583,0.1929296783143937,Forward GNN,All,800
1325.7616500854492,2776.157806185532,0.9997337151585617,0.2202579881849142,Forward GNN,Miura,422
976.5392259790101,1980.6652914787423,0.99948999903547,0.18542736067747073,Forward GNN,TMP,378
1932.033860311508,3225.662837765165,0.9995708707627678,0.3477636765172512,Forward GNN,  bendstiff30,800
656.449837127924,1054.015091516108,0.9996319560211403,0.3024484834571182,Forward GNN,  bendstiff60,800
209.32202874176204,296.112166595368,0.9997066370089105,0.275744364444621,Forward GNN,  bendstiff90,800
474.24509979248046,737.2940512919234,0.9994864223962017,0.37569881910182745,Forward GNN,  axialstiff30,800
712.9351226806641,1177.352092659727,0.9993652038835662,0.38849003657192754,Forward GNN,  axialstiff60,800
2979.5383795166017,4688.425415681364,0.9994859249776397,0.37506400468766504,Forward GNN,  axialstiff90,800
1245.5174698213737,2451.3861130176224,0.9997013555123136,0.19439396336868014,Forward Transformer,All,800
1375.9077578720887,2651.607079940851,0.9997570726090683,0.21037623999016114,Forward Transformer,Miura,422
1099.9494762832735,2206.498707928999,0.9993670692875657,0.2065695973518375,Forward Transformer,TMP,378
1920.901002497673,3088.4336952233557,0.9996066069101096,0.3329687913925822,Forward Transformer,  bendstiff30,800
626.1671361637116,1085.0557028014243,0.9996099591210554,0.3113555530848612,Forward Transformer,  bendstiff60,800
170.71212246656418,285.86347496012746,0.9997265926670301,0.2662006196068413,Forward Transformer,  bendstiff90,800
556.0197952270507,799.5877287004506,0.9993959722968205,0.4074414609946852,Forward Transformer,  axialstiff30,800
800.9731103515625,1159.8103545294991,0.9993839790183755,0.38270180165882495,Forward Transformer,  axialstiff60,800
3398.3316522216796,4824.290223641456,0.99945569874825,0.38593289870892716,Forward Transformer,  axialstiff90,800
188456785.4891836,479541717.2366266,0.8854839954535547,9.59575326603651,Inverse ResNet,All,800
173628276.68739027,456068444.90414435,0.8971928354557897,9.126047041212212,Inverse ResNet,Miura,422
205011364.09859318,504458615.1941173,0.8722011606814151,10.09463122202567,Inverse ResNet,TMP,378
0.02365697644650936,0.04250895066760456,0.9927500252790257,4.250895066760456,Inverse ResNet,  pattern,800
1.4398375511169434,1.9591223457676326,0.8385648363463751,16.326019548063606,Inverse ResNet,  m,800
0.2888399690389633,0.45465851803551893,0.9641819585508404,7.577641967258648,Inverse ResNet,  n,800
9.006759304611478e-05,0.00011201335246174051,0.4072704715767538,22.435759158617515,Inverse ResNet,  tcrease,800
0.00044154365590657105,0.0005734461967382906,0.8403437502123543,11.525078451554906,Inverse ResNet,  tpanel,800
0.0006028239642910194,0.0007396446700326564,0.272754736781581,24.724567614420227,Inverse ResNet,  W,800
905706436.24,1113104878.6874623,0.07060945404942409,27.879066651296863,Inverse ResNet,  creaseE,800
601947845.92,775035223.4603226,0.5633226532630579,19.40848342276523,Inverse ResNet,  panelE,800
217411778.66393557,515711512.0805963,0.8675575972338461,10.3195201762564,Inverse CVAE,All,800
216207221.50159374,510735981.669788,0.8710693291427813,10.219958531307343,Inverse CVAE,Miura,422
218756548.8293014,521210095.9049687,0.8635726442275419,10.42984210970939,Inverse CVAE,TMP,378
0.009247904643416405,0.02486934564550382,0.9975185562212271,2.486934564550382,Inverse CVAE,  pattern,800
3.8240496158599853,4.442949377179618,0.16973304771351683,37.02457814316348,Inverse CVAE,  m,800
0.5969928699731827,0.8427968596963322,0.8769229755278916,14.046614328272202,Inverse CVAE,  n,800
8.7437124166172e-05,0.00010743973104282117,0.4546858119901803,21.51968383025327,Inverse CVAE,  tcrease,800
0.00046155463271134066,0.0006067800288554683,0.8212429714230696,12.195019297664942,Inverse CVAE,  tpanel,800
0.0006452847737818956,0.0007740131629309007,0.20359985583043194,25.87342484397458,Inverse CVAE,  W,800
847368406.16,1014849384.4520578,0.22744525699567864,25.418138193346866,Inverse CVAE,  creaseE,800
891925818.72,1047734525.7348924,0.20196802560096738,26.237437420449677,Inverse CVAE,  panelE,800
204578285.02586678,502026670.2101792,0.874493280477269,10.045682965950771,Inverse Diffusion,All,800
188608754.73124692,470910990.66189486,0.8903923200609937,9.423050204465582,Inverse Diffusion,Miura,422
222406702.44472814,534629130.4329039,0.85645731686444,10.698368012201927,Inverse Diffusion,TMP,378
0.021105122193694113,0.046981822275923894,0.9911440442363489,4.6981822275923895,Inverse Diffusion,  pattern,800
2.4115001702308656,3.16906713478872,0.5775863915255133,26.408892789905998,Inverse Diffusion,  m,800
0.4131560611724854,0.651139928669692,0.9265351111443845,10.852332144494865,Inverse Diffusion,  n,800
8.967186353402212e-05,0.00011173934743153085,0.41016677323209016,22.38087721168058,Inverse Diffusion,  tcrease,800
0.0004495011882681865,0.0005798571146019543,0.8367539992378081,11.653924595701396,Inverse Diffusion,  tpanel,800
0.0006336484193161596,0.0007761672233078647,0.19916096210949708,25.945429975078195,Inverse Diffusion,  W,800
893697803.6,1076472458.793333,0.13077556993767214,26.961563102996024,Inverse Diffusion,  creaseE,800
742928473.76,925987724.6907736,0.37665534377625953,23.188645961282607,Inverse Diffusion,  panelE,800
