epoch,train_teacher_ratio,train_total,train_noise,train_x0,train_param,train_closed_loop,val_total,val_noise,val_x0,val_param,val_closed_loop,val_select
1,1.0,1.5075264692306518,1.0495200753211975,1.373479187488556,0.45172200798988343,0.5659922897815705,1.1277184963226319,0.8184996366500854,0.7807941794395447,0.3055084884166718,0.34379891157150266,1.4301015794277192
2,1.0,1.007045316696167,0.7327038526535035,0.6664602518081665,0.26832047998905184,0.26841041147708894,0.8109658002853394,0.6108029007911682,0.4486721396446228,0.19615861177444457,0.17676745355129242,0.8215982049703598
3,1.0,0.8403776049613952,0.6271324992179871,0.4745046317577362,0.20752527713775634,0.1532161980867386,0.7669682383537293,0.5791103720664978,0.41827391982078554,0.18286111652851106,0.1326456606388092,0.7337806969881059
4,1.0,0.7773724555969238,0.5832335829734803,0.4179153680801392,0.18742405772209167,0.13485963344573976,0.7281986474990845,0.5601595163345336,0.35758864879608154,0.16297196745872497,0.08825945854187012,0.6088200747966767
5,1.0,0.7331179022789002,0.5503301858901978,0.39088450074195863,0.17570312321186066,0.1016236662864685,0.6932303667068481,0.5479759573936462,0.3000151336193085,0.14038318395614624,0.05987516492605209,0.5002734825015068
6,1.0,0.7071554780006408,0.5358809709548951,0.35926716923713686,0.16373165547847748,0.08617657423019409,0.6584950804710388,0.5069374680519104,0.31002315878868103,0.14544496834278106,0.06379620432853698,0.5192643314599991
7,1.0,0.6723201036453247,0.5027175784111023,0.34990975856781004,0.16082330346107482,0.08869682997465134,0.6325209379196167,0.49169904589653013,0.2848852455615997,0.13434638530015947,0.05684847235679626,0.47608010321855543
8,1.0,0.6596197247505188,0.4982695341110229,0.32602311968803405,0.15207510590553283,0.08117458820343018,0.6597458839416503,0.5040708780288696,0.3190192461013794,0.14759833216667176,0.05944718345999718,0.5260647617280484
9,1.0,0.6631006598472595,0.5078453898429871,0.3161799430847168,0.1453918844461441,0.07417134344577789,0.6061483025550842,0.4627432584762573,0.2891760230064392,0.13570449948310853,0.044361996650695804,0.4692425191402435
10,1.0,0.6451076745986939,0.49012115597724915,0.3102558612823486,0.14446739554405214,0.06902402564883232,0.5799269497394561,0.43259106278419496,0.2941838979721069,0.13839601278305053,0.048899386823177335,0.4814792975783348
11,1.0,0.6178536057472229,0.4762009620666504,0.27925099730491637,0.13128402978181838,0.06145584508776665,0.5937081217765808,0.45594558119773865,0.27161760330200196,0.1281804159283638,0.0524581216275692,0.4522561408579349
12,1.0,0.5938460469245911,0.4522813856601715,0.27585686445236207,0.13050600737333298,0.05917454957962036,0.5397610902786255,0.4202202081680298,0.2345776230096817,0.11120544075965881,0.0360746830701828,0.38185774683952334
13,1.0,0.5931267261505127,0.4505287051200867,0.2775878310203552,0.1308168426156044,0.05617090985178948,0.5524884581565856,0.4326185047626495,0.23289161920547485,0.11146074682474136,0.028972846269607545,0.3733252122998238
14,1.0,0.5690809726715088,0.4266050159931183,0.274789297580719,0.13022297024726867,0.05210167169570923,0.5572355628013611,0.429289311170578,0.2523234337568283,0.11815331131219864,0.031176012009382248,0.4016527570784092
15,1.0,0.5680624604225158,0.4324287176132202,0.2612093538045883,0.12339180409908294,0.04699372574687004,0.5582987546920777,0.4339582622051239,0.24192384481430054,0.11371099650859832,0.03596560880541801,0.39160045012831685
16,1.0,0.5548645734786988,0.41930989623069764,0.2599795788526535,0.12295155823230744,0.04283779636025429,0.4802613973617554,0.36599857807159425,0.2177031934261322,0.10442378520965576,0.028725163266062736,0.3508521419018507
17,1.0,0.5559278011322022,0.4271103262901306,0.24376382529735566,0.11627145260572433,0.04007606282830238,0.536699628829956,0.4056501090526581,0.2510102927684784,0.11971900314092636,0.026316723227500914,0.3970460191369057
18,1.0,0.5554791331291199,0.42489118576049806,0.24534207880496978,0.11725583374500274,0.03999831601977348,0.5457807421684265,0.4201932609081268,0.23902795910835267,0.11439115405082703,0.023034007847309114,0.37645312100648887
19,1.0,0.5309646844863891,0.40422444939613345,0.2369024485349655,0.11306603997945786,0.03934218659996987,0.5067368268966674,0.3845657050609589,0.23014371395111083,0.11107670068740845,0.019780606403946875,0.3610010210424661
20,1.0,0.531539261341095,0.4007240474224091,0.24542059302330016,0.11641914844512939,0.03663385659456253,0.5027372598648071,0.3748064458370209,0.2476318895816803,0.11537140011787414,0.021233170852065088,0.38423646055161953
21,1.0,0.5412665367126465,0.4100296199321747,0.24470781683921813,0.1162480130791664,0.035894762724637985,0.5055863499641419,0.3860656440258026,0.22275781333446504,0.10693821758031845,0.024584227427840232,0.3542802583426237
22,1.0,0.5190836668014527,0.39263713359832764,0.2342744767665863,0.1109848901629448,0.03748035877943039,0.5383572936058044,0.41287943720817566,0.2345302790403366,0.11238413751125335,0.020177394151687622,0.36709181070327757
23,1.0,0.520389848947525,0.3943405032157898,0.23166075050830842,0.11040170043706894,0.034721701964735986,0.4744263827800751,0.3564094007015228,0.21960045993328095,0.10526070445775985,0.018467272445559502,0.3433284368366003
24,1.0,0.5140533924102784,0.38308328986167905,0.2385590612888336,0.1138518586754799,0.037782596051692964,0.5094950497150421,0.39717196822166445,0.20761794447898865,0.09964754581451415,0.01806560717523098,0.3253310974687338
25,1.0,0.5064380943775177,0.3819542109966278,0.22546363174915313,0.10810426473617554,0.032681210339069365,0.4887637794017792,0.3716916263103485,0.2176262766122818,0.1038063570857048,0.015260671451687812,0.3366933051496744
26,1.0,0.49625723361968993,0.3696182548999786,0.22951739132404328,0.10986064821481704,0.02980576679110527,0.4831482291221619,0.379242354631424,0.1886475056409836,0.09131790697574615,0.017097145318984985,0.29706255793571473
27,1.0,0.4951022148132324,0.3721525609493256,0.2198931396007538,0.10591119378805161,0.03060283772647381,0.45454710721969604,0.3474894940853119,0.19368385076522826,0.09383942484855652,0.016351133584976196,0.30387440919876096
28,1.0,0.5096793413162232,0.3833011269569397,0.22684972882270812,0.10823415666818618,0.031088472902774812,0.4939968824386597,0.3785978198051453,0.21302246749401094,0.10128511637449264,0.012483976595103741,0.3267915604636073
29,1.0,0.4946371138095856,0.3731969118118286,0.21669768095016478,0.10397954881191254,0.02699141055345535,0.47937915921211244,0.36255612373352053,0.212897390127182,0.10231424272060394,0.011921331100165845,0.3271329639479518
30,1.0,0.48997157216072085,0.368311333656311,0.21699455976486207,0.10376575142145157,0.025998995825648307,0.4650954961776733,0.3500205218791962,0.208321613073349,0.10052595138549805,0.010931850038468837,0.31977941449731595
31,1.0,0.5023229241371154,0.37883622050285337,0.22026239037513734,0.10479418933391571,0.025993504375219346,0.4911958694458008,0.38499773740768434,0.19322535693645476,0.09238907545804978,0.00944029875099659,0.2950547311455012
32,1.0,0.48747039437294004,0.36552575826644895,0.21588363349437714,0.10314701199531555,0.02490534447133541,0.5032155275344848,0.38526169657707215,0.2120737075805664,0.10193043947219849,0.012253296002745629,0.3262574430555105
33,1.0,0.4962306201457977,0.37422670125961305,0.2157644361257553,0.10285471528768539,0.023800039291381837,0.4713021397590637,0.36560310125350953,0.18928338289260865,0.09129278212785721,0.009277807921171189,0.28985397294163706
34,1.0,0.47812606692314147,0.3566307485103607,0.21208361983299256,0.10224581509828568,0.02271914891898632,0.48904708623886106,0.3750047147274017,0.20413635671138763,0.097893026471138,0.010673307068645953,0.3127026902511716
35,1.0,0.48494980931282045,0.3632727265357971,0.2100997895002365,0.10123303532600403,0.026226548105478288,0.47279671430587766,0.3603146195411682,0.20073625147342683,0.09661023467779159,0.008321395143866539,0.30566788129508493
36,1.0,0.47273957133293154,0.3515876352787018,0.2095803588628769,0.100232794880867,0.025908207520842552,0.4833504259586334,0.3778312385082245,0.1876729130744934,0.09023683816194535,0.00786621030420065,0.2857759615406394
37,1.0,0.4735394656658173,0.35508999824523924,0.20380862355232238,0.09818636029958724,0.022405510768294334,0.46711660027503965,0.35663365125656127,0.19416020810604095,0.09373891502618789,0.01027539074420929,0.2981745138764382
38,1.0,0.45368375182151793,0.3357100248336792,0.20282139182090758,0.0975544735789299,0.021072961390018463,0.43600180745124817,0.32095363140106203,0.20274134278297423,0.09726057797670365,0.010018016770482063,0.31001993753016
39,1.0,0.4751526594161987,0.35893614292144777,0.19812517762184143,0.09580288231372833,0.020348159968852995,0.4494343876838684,0.33444634079933167,0.20271560847759246,0.09713473469018936,0.008375359326601028,0.30822570249438286
40,1.0,0.4643109619617462,0.35179653763771057,0.19006432592868805,0.09217793196439743,0.02052532471716404,0.45484067797660827,0.3433996379375458,0.1917027562856674,0.09349842965602875,0.010425601154565811,0.295626787096262
41,1.0,0.4574342966079712,0.33470379114151,0.20752240121364593,0.09972563982009888,0.023367908596992493,0.45144795775413515,0.3418804705142975,0.19068120121955873,0.09197066724300385,0.007652660738676787,0.29030452920123934
