sample_id,source_name,pattern,curve_id,load_case,deployment,source_stiff,curve_final_stiff,rel_stiff_error,secant_stiff_cv,secant_change_ratio,max_linearity_error,force_final,expected_final_load,disp_final,disp_min,disp_max
miura_00001,miura,1,0,bending,0.3,133869.551931075,49976.295743060495,0.626679143822102,0.31195544442031475,0.6265340438930327,1.6786609519706865,2008.04327896612,2008.04327896612,0.0401799142795602,0.0001875728762839,0.0401799142795602
miura_00001,miura,1,1,bending,0.6,40705.0730782034,38712.42117922886,0.048953404288114545,0.01528081370184166,0.04894081349534529,0.05147319227978678,610.576096173051,610.576096173051,0.0157720978841968,0.0001875024822902,0.0157720978841968
miura_00001,miura,1,2,bending,0.9,18639.255146931,18734.461470276186,0.0051078394814968835,0.0015264300894601195,0.005106567725784883,0.005081882043753496,279.588827203965,279.588827203965,0.0149237717693437,0.0001874997627576,0.0149237717693437
miura_00001,miura,1,3,axial,0.3,12418.981920453,13326.201341587981,0.07305103002371466,0.020683649499441438,0.0733212332557982,0.06807787139638657,186.284728806795,186.284728806795,0.0139788319290542,0.0001875472140696,0.0139788319290542
miura_00001,miura,1,4,axial,0.6,23592.906128434,28514.70108473404,0.20861334036201368,0.055099847409619734,0.20763465006407666,0.17260552518767341,353.89359192651,353.89359192651,0.0124109171221849,0.0001873481694478,0.0124109171221849
miura_00001,miura,1,5,axial,0.9,250199.689454778,477124.5987037503,0.9069751834763469,0.17411070078323002,0.8818029182475711,0.4756093269252533,3752.99534182167,3752.99534182167,0.0078658600961212,0.0001850249810426,0.0078658600961212
miura_00002,miura,1,0,bending,0.3,383991.359302586,277307.73585549655,0.27782818769893863,0.08970519057479609,0.2778059079413082,0.38471203523395997,5759.87038953879,5759.87038953879,0.0207706805285094,0.0001875057845716,0.0207706805285094
miura_00002,miura,1,1,bending,0.6,167436.945540865,153898.21131200463,0.0808587028694697,0.025006366879611223,0.08072577159906658,0.08797200508986236,2511.55418311297,2511.55418311297,0.0163195800763479,0.0001875271172814,0.0163195800763479
miura_00002,miura,1,2,bending,0.9,50796.9204307806,50669.31218221171,0.002512125685705243,0.0007349013063440669,0.002483496729300927,0.0025184523545533563,761.953806461709,761.953806461709,0.0150377767853183,0.0001875053814482,0.0150377767853183
miura_00002,miura,1,3,axial,0.3,27604.6091651444,30018.779836698923,0.08745534693542523,0.02417741904934371,0.08689564901742641,0.08042201197675336,414.069137477166,414.069137477166,0.0137936698203487,0.0001874034963965,0.0137936698203487
miura_00002,miura,1,4,axial,0.6,55164.2092642921,64420.78158471225,0.16780032640496756,0.04485412510399726,0.166082458873966,0.14368922718281382,827.463138964382,827.463138964381,0.0128446615922578,0.0001872241821613,0.0128446615922578
miura_00002,miura,1,5,axial,0.9,408322.029621885,596298.6635771367,0.46036368434326735,0.10649706783218203,0.4512420226074181,0.3152390663222327,6124.83044432827,6124.83044432827,0.0102714140051665,0.0001863288454487,0.0102714140051665
miura_00003,miura,1,0,bending,0.3,501290.919216185,179346.59597840777,0.64223051105966,0.2909511202079893,0.6421459259863929,1.7950958114451045,7519.36378824278,7519.36378824277,0.0419264371716766,0.0001875443293845,0.0419264371716766
miura_00003,miura,1,1,bending,0.6,148242.860099923,137698.2365714969,0.07113073453465825,0.02220983583651597,0.07108718553700466,0.07657776737722449,2223.64290149885,2223.64290149885,0.0161486665106584,0.000187508790728,0.0161486665106584
miura_00003,miura,1,2,bending,0.9,42065.6466622647,42174.80019879099,0.002594837954178102,0.0007886083837726355,0.002596043983262186,0.002588122196472629,630.98469993397,630.98469993397,0.0149611781670529,0.0001875002255452,0.0149611781670529
miura_00003,miura,1,3,axial,0.3,38814.6635536106,41766.012650876066,0.07603696198961205,0.021165523281884622,0.07541338369385597,0.07066389415566,582.219953304159,582.219953304159,0.0139400415876651,0.0001873913411578,0.0139400415876651
miura_00003,miura,1,4,axial,0.6,74855.7416017229,88328.65818440243,0.17998507922563203,0.047847889212025034,0.17796631138466745,0.152531656878024,1122.83612402584,1122.83612402584,0.0127120251468296,0.0001871792171555,0.0127120251468296
miura_00003,miura,1,5,axial,0.9,616917.192224209,993635.283931836,0.6106461231035278,0.13172929321236865,0.596154172766312,0.3791311538545064,9253.75788336313,9253.75788336313,0.0093130326921824,0.0001858129499092,0.0093130326921824
miura_00004,miura,1,0,bending,0.3,20123.0417247731,20219.137933920432,0.004775431590395782,0.001415521804975967,0.004779623344157269,0.0047527352284450885,301.845625871596,301.845625871596,0.0149287089715733,0.0001875007822184,0.0149287089715733
miura_00004,miura,1,1,bending,0.6,6830.27008845333,6929.100313988427,0.014469446193961084,0.0043567467234356776,0.014476335385092076,0.014263067506120506,102.4540513268,102.4540513268,0.0147860539874082,0.0001875012732994,0.0147860539874082
miura_00004,miura,1,2,bending,0.9,5456.1407822165,5496.795731189019,0.007451228000756025,0.002245838466133087,0.007461148937174533,0.007396117840406705,81.8421117332475,81.8421117332475,0.0148890582323939,0.0001875018464175,0.0148890582323939
