model,epoch,batch_train_mse,train_mse,test_mse
forward_x_to_curve,1,1.1185836315155029,1.0137360095977783,1.2423964738845825
forward_x_to_curve,2,0.9775911509990692,0.9065312743186951,1.192160725593567
forward_x_to_curve,3,0.8720389366149902,0.8093783855438232,1.162750005722046
forward_x_to_curve,4,0.7691579341888428,0.7069015502929688,1.1437774896621704
forward_x_to_curve,5,0.6708114743232727,0.6051664352416992,1.1378010511398315
inverse_curve_to_x,1,0.9050007939338685,0.587413489818573,0.9461572766304016
inverse_curve_to_x,2,0.5813888728618621,0.5034555792808533,0.9404885172843933
inverse_curve_to_x,3,0.49293393492698667,0.4428313374519348,0.9723101854324341
inverse_curve_to_x,4,0.44122210144996643,0.397224485874176,0.9926043748855591
inverse_curve_to_x,5,0.39518030881881716,0.36113473773002625,0.9976204037666321
