model,epoch,batch_train_mse,train_mse,test_mse
forward_x_to_curve,1,1.0962969660758972,0.9876317977905273,0.8096269369125366
forward_x_to_curve,25,0.029294444248080254,0.024694599211215973,0.37587493658065796
forward_x_to_curve,50,0.000619449041550979,0.000558934872969985,0.3826861083507538
forward_x_to_curve,75,3.052944975934224e-05,2.7811032850877382e-05,0.38403379917144775
forward_x_to_curve,80,1.6974507161648944e-05,1.5617439203197137e-05,0.38433849811553955
inverse_curve_to_x,1,1.0073975920677185,0.5773916840553284,0.716383159160614
inverse_curve_to_x,25,0.008721615187823772,0.005953555461019278,1.0637766122817993
inverse_curve_to_x,50,0.00021327356080291793,0.00019015916041098535,1.0780833959579468
inverse_curve_to_x,75,2.496312026778469e-05,1.541664641990792e-05,1.0857261419296265
inverse_curve_to_x,80,7.925103818706702e-05,1.5713629181846045e-05,1.0858886241912842
