epoch,train_total,train_curve,train_physics,train_smoothness,train_force_monotonic,train_displacement_monotonic,val_total,val_curve,val_physics,val_smoothness,val_force_monotonic,val_displacement_monotonic
1,0.0036994112299600984,0.0032250867352767547,0.00947058970274724,7.950181421782276e-05,0.0,0.0,0.013142105053330577,0.012563744594537934,0.011553430297347003,6.888265617267596e-05,0.0,0.0
2,0.003475353140146679,0.003010679339948496,0.009277658089758105,7.908741647309392e-05,0.0,0.0,0.012380360712318919,0.011827369926627293,0.011046616707083791,6.602279969482943e-05,0.0,0.0
3,0.003328725849545211,0.0028736534119126905,0.009085834502082342,7.807384157044646e-05,0.0,0.0,0.013058356667847134,0.012480011868268944,0.011553085235835509,6.906097757543416e-05,0.0,0.0
4,0.0032527664133531462,0.00279949721316718,0.009049887430800754,7.74819960567068e-05,0.0,0.0,0.013699079421890336,0.01313483986223853,0.011271363795669965,6.71520326482836e-05,0.0,0.0
5,0.0032323956792094525,0.002786696896218001,0.008898452306344251,7.761635188796339e-05,0.0,0.0,0.013286297443474449,0.012748453614496908,0.010744025380632212,6.428877173294855e-05,0.0,0.0
6,0.003860995239299384,0.003407392136390754,0.009056728289931253,7.666614814309232e-05,0.0,0.0,0.012852503718851611,0.012304317383745381,0.010950764719136925,6.480702969954934e-05,0.0,0.0
7,0.003018389375150726,0.0025824074129200286,0.00870439456419865,7.622095586244124e-05,0.0,0.0,0.012781247942773409,0.012243567101744025,0.010740715538173221,6.450945059674099e-05,0.0,0.0
8,0.00314293690945265,0.002708198721846862,0.008679625084089815,7.569399772799176e-05,0.0,0.0,0.013023657278092795,0.012479523285616969,0.010869936822632025,6.374347031787905e-05,0.0,0.0
9,0.003081203595539377,0.0026504742485844784,0.008599517753668082,7.534800307746608e-05,0.0,0.0,0.012439703551489253,0.011911245864317861,0.010556552992310635,6.302017376752743e-05,0.0,0.0
10,0.002974658303710211,0.0025496038351694394,0.008486149129665391,7.469966308959718e-05,0.0,0.0,0.012665789461759634,0.012126538283083329,0.01077228144764207,6.369680831571607e-05,0.0,0.0
