epoch,train_total,train_bending,train_axial,val_total,val_bending,val_axial
1,0.7170327693223953,0.38813803493976595,0.32889473140239717,0.17091991305351256,0.08570977449417114,0.0852101355791092
2,0.19562259018421174,0.09841753020882607,0.09720506072044373,0.09088359177112579,0.041101767867803576,0.04978182166814804
3,0.11513554826378822,0.04927554577589035,0.06586000248789788,0.06565258353948593,0.03199670910835266,0.03365587294101715
4,0.08326503336429596,0.03689741715788841,0.04636761657893658,0.04131475239992142,0.018420781195163726,0.02289397157728672
5,0.06664755828678608,0.029647055082023144,0.03700050339102745,0.03189924359321594,0.013571890629827976,0.01832735277712345
6,0.05371638685464859,0.024013897962868215,0.029702488519251346,0.02673175036907196,0.01068269144743681,0.016049057990312577
7,0.046932052820920944,0.019704371504485608,0.027227681875228883,0.020758902281522752,0.009106656722724437,0.011652246117591858
8,0.04252829253673553,0.017712954431772232,0.024815337918698787,0.01782291755080223,0.007693355157971382,0.010129562765359878
9,0.04057113490998745,0.016716924402862786,0.023854211159050464,0.019139334559440613,0.007893942855298519,0.011245391331613064
10,0.037401198595762256,0.01570693664252758,0.02169426213949919,0.01789231076836586,0.009843503683805465,0.008048806898295879
11,0.03672229945659637,0.015565677825361491,0.02115662135183811,0.012104376778006553,0.006463952828198671,0.005640423856675625
12,0.031776171550154685,0.013806964922696351,0.017969206254929305,0.013494029454886914,0.00623153280466795,0.007262496836483478
13,0.030987709946930408,0.013067235238850117,0.01792047480121255,0.013840503990650177,0.00605516443029046,0.007785339467227459
14,0.03027985356748104,0.012415717914700508,0.01786413583904505,0.012189368531107903,0.005365506187081337,0.006823862157762051
15,0.028734426945447922,0.01153869228437543,0.01719573475420475,0.011410350166261195,0.0057012875564396385,0.005709062423557043
16,0.027879813499748708,0.011862888466566801,0.016016924940049648,0.013324739784002304,0.006205346435308456,0.007119393348693848
17,0.027158722653985022,0.011372333206236363,0.015786389447748662,0.01073695309460163,0.00538416700437665,0.005352786183357239
18,0.026181870698928834,0.01077795447781682,0.015403916500508786,0.011594779416918754,0.004919998720288277,0.006674780882894993
19,0.026366239972412588,0.011271192692220211,0.015095047373324632,0.012514217384159565,0.006742367334663868,0.005771849863231182
20,0.025591244362294673,0.010910984314978122,0.014680260512977838,0.008299747481942177,0.003333931928500533,0.004965815413743258
21,0.023854629695415498,0.010065214242786169,0.013789415545761585,0.010143355093896389,0.004934393428266048,0.005208961851894856
22,0.023473387770354747,0.009418366849422455,0.014055020548403263,0.00809817500412464,0.0042644433677196504,0.0038337319158017634
