epoch,train_total,train_class,train_param,train_kl,train_closed_loop,val_total,val_class,val_param,val_kl,val_closed_loop,val_select
1,1.29561328291893,0.8019200503826142,0.8899036645889282,1.9760041654109954,0.47388205900788305,0.9018669247627258,0.6800512075424194,0.5605943918228149,4.50315637588501,0.12243999838829041,1.3630855977535248
2,0.6722062021493912,0.6443805277347565,0.34811543524265287,12.661700677871703,0.0886944741010666,0.4474142074584961,0.5748968005180359,0.1585863411426544,27.311483001708986,0.05531747043132782,0.7888006120920182
3,0.38895433247089384,0.5523718774318696,0.11050166711211204,35.069511604309085,0.05802300535142422,0.2907352149486542,0.4752421259880066,0.050965297222137454,44.12661514282227,0.049565589427948,0.575773012638092
4,0.2856661543250084,0.43594479858875274,0.06497771218419075,50.925524139404295,0.04243828840553761,0.21436581015586853,0.3395350694656372,0.04251052662730217,57.28056182861328,0.023553204163908957,0.4055988002568483
5,0.1907146915793419,0.27108549475669863,0.05221291147172451,61.769065856933594,0.028296080231666566,0.1079560786485672,0.13343389630317687,0.038733665645122525,68.49289398193359,0.015862833708524704,0.1880303956568241
6,0.10985872372984887,0.11500339433550835,0.048857377469539644,70.86972274780274,0.02289264164865017,0.060980474948883055,0.05135410279035568,0.03229807019233703,76.84220886230469,0.011668100953102112,0.09532027393579483
7,0.0753249205648899,0.04879954420030117,0.04688075818121433,76.69353866577148,0.019430227018892764,0.03845891505479813,0.016144934855401517,0.0270695473998785,78.68621215820312,0.008041189424693585,0.0512556716799736
8,0.061389866098761556,0.02841826658695936,0.04263889528810978,78.71798934936524,0.01741397297009826,0.040924356877803804,0.01323827300220728,0.030177465826272964,79.54230194091797,0.011825785413384438,0.05524152424186468
9,0.0557981800287962,0.022068877052515746,0.039818794652819636,77.91843109130859,0.015984634310007094,0.03185020387172699,0.0068168116733431814,0.02436583675444126,78.71105346679687,0.005932924989610911,0.03711557341739535
10,0.047524656355381015,0.015266488958150148,0.03472128640860319,77.14289016723633,0.01312981266528368,0.028141425922513008,0.0049894234165549275,0.021081213653087617,77.0084716796875,0.0071507756598293785,0.03322141272947192
11,0.04395238310098648,0.013340659718960524,0.03173872362822294,75.50223541259766,0.012642789632081985,0.027862519025802612,0.0052351241931319235,0.020366135612130166,75.79120025634765,0.006457325629889965,0.032058585435152054
12,0.04130052477121353,0.011748914700001478,0.029482606798410416,73.8693977355957,0.012594151590019465,0.0245320662856102,0.0034683440811932088,0.016936594620347023,72.75702819824218,0.012465650960803033,0.03287058966234327
13,0.03992039076983929,0.009612502809613944,0.028601466119289397,71.20929565429688,0.014492834266275168,0.022943619638681412,0.002744866954162717,0.016353309527039527,70.63580932617188,0.004819604940712452,0.023917781421914697
14,0.037889132276177406,0.008634000550955534,0.027300290390849115,68.61057815551757,0.010493573918938636,0.023294569179415702,0.0037471533752977846,0.015923654288053514,67.75169677734375,0.005390855297446251,0.02506166296079755
15,0.038077061623334886,0.010172239830717444,0.026509563066065313,66.7258903503418,0.009846243541687727,0.022861000895500184,0.0024497082456946375,0.015816036984324454,66.03198013305663,0.005784741602838039,0.02405048683285713
16,0.03567487709224224,0.009571203729137778,0.024164593406021596,65.21732749938965,0.009420600719749928,0.019694286957383157,0.0023703375831246377,0.012724760547280311,64.14695281982422,0.004078760556876659,0.01917385868728161
17,0.032242705672979356,0.006899071345105767,0.021859828568994998,63.625833129882814,0.008971445262432098,0.018645433336496355,0.0016172772040590644,0.011676969937980175,63.000518035888675,0.0047340082004666325,0.01802825534250587
18,0.030652556195855142,0.00536887850612402,0.020847506634891034,62.057302474975586,0.008530297316610813,0.016574637964367867,0.0013592356350272893,0.009863447584211826,61.05418472290039,0.002981645334511995,0.01420432855375111
19,0.031587532721459866,0.004693176248110831,0.02198073863983154,59.82612190246582,0.008298546401783824,0.020990363880991937,0.0013585672248154878,0.014062276482582093,58.81928176879883,0.0034787953831255437,0.018899639090523123
20,0.03042788840830326,0.004677027929574251,0.020656571350991727,58.319044494628905,0.008004494570195675,0.020615511015057562,0.0016550945118069648,0.013219292089343072,57.23433074951172,0.004226194322109222,0.01910058092325926
21,0.029653846845030786,0.004434156604111195,0.01972853150218725,56.59419708251953,0.008408795576542616,0.016295115649700164,0.001160478009842336,0.009087182581424713,55.6608772277832,0.0037300117779523133,0.013977672369219363
22,0.028080695308744907,0.004017400741577149,0.01831233352422714,54.89917755126953,0.007821598136797548,0.017589908465743063,0.0015855879406444728,0.00972128864377737,53.57230987548828,0.005376690998673439,0.016683567583095284
23,0.027982294000685214,0.004493571375496686,0.01773120239377022,52.76613349914551,0.00841826326213777,0.015370415523648262,0.00107526823412627,0.008235428482294083,51.56419219970703,0.0029020468704402448,0.012212743586860596
24,0.026389964669942857,0.004250222793780267,0.01633307272568345,51.08399848937988,0.007507085707038641,0.014771035127341747,0.0012583548086695373,0.007267495058476925,49.90943450927735,0.003688461985439062,0.012214311852585525
25,0.02667896021157503,0.004270348092541098,0.016504382807761432,49.42120590209961,0.0074470100924372675,0.015706465393304826,0.0008176579955033958,0.008059004507958888,48.416456604003905,0.0047462983056902885,0.013622960809152573
26,0.027223366498947143,0.0040025412105023864,0.016900080908089875,48.45872611999512,0.007778388494625687,0.016122466698288918,0.0007392218336462975,0.00863400250673294,47.54356231689453,0.003608420304954052,0.01298164464533329
27,0.027795831300318243,0.00348054813221097,0.017670306377112865,47.19523124694824,0.007458870485424996,0.01781051717698574,0.002523499866947532,0.009301606938242913,46.302588653564456,0.0036900417879223825,0.015515148593112826
28,0.02799129132181406,0.0035555477952584624,0.017517628986388444,46.48050994873047,0.007816489040851592,0.01490544956177473,0.001180133898742497,0.007024143170565367,45.59920959472656,0.0032405377831310036,0.011444814852438867
29,0.026111822947859763,0.0038579368498176335,0.015664576087146997,44.9247329711914,0.006911008153110743,0.01583037693053484,0.0011761471861973405,0.00790156340226531,43.6596176147461,0.0034830861259251833,0.012560796714387834
30,0.026351440325379373,0.003653473570011556,0.015853803604841232,43.449791717529294,0.007178102247416973,0.014268811605870724,0.0007203411543741823,0.0065157216042280195,42.93056945800781,0.0031777785159647466,0.010413841274566949
31,0.02508903592824936,0.0032983710058033465,0.014588305540382863,43.332793426513675,0.006886972999200225,0.014471523836255074,0.0006283349823206664,0.006234643887728453,42.369204711914065,0.004372534155845642,0.011235513025894761
32,0.024494130723178388,0.0030258330167271196,0.014156604558229447,41.87072257995605,0.006641545100137591,0.014960505627095699,0.0005753821693360806,0.006983034405857324,40.40369567871094,0.0038287148810923098,0.011387131456285716
33,0.02418559342622757,0.0025119409081526102,0.014129052218049765,40.24386367797852,0.006546463025733829,0.014699629694223403,0.0010851503582671284,0.006492805294692516,39.51000289916992,0.003469995316118002,0.011047950969077647
34,0.025670784153044225,0.00286706225015223,0.015178681537508964,39.73065757751465,0.006777528906241059,0.014527706056833267,0.000649415678344667,0.0065625389106571674,38.85172882080078,0.003046075953170657,0.010258030542172492
35,0.026370426267385484,0.0034566768328659235,0.01570385806262493,38.94080352783203,0.006067398888990283,0.014011347107589245,0.0006040432839654386,0.005981051456183195,37.834294128417966,0.0031636363826692106,0.009748731122817843
36,0.026614985801279543,0.003364850487560034,0.015446983277797699,38.44504737854004,0.007126302132382989,0.016876421123743057,0.0005597472365479917,0.008815953135490417,37.43550338745117,0.002895009657368064,0.012270710029406474
37,0.025545833818614482,0.0036164795979857444,0.014535759761929511,37.65977783203125,0.006039933348074555,0.015438836440443993,0.0005370449740439654,0.007091424707323313,36.85597152709961,0.0034068495035171507,0.011035319184884429
38,0.025373499654233456,0.0037110619712620975,0.014018566254526377,37.45431289672852,0.006271270709112287,0.014453671872615814,0.0007675855187699199,0.005910744052380323,36.280940246582034,0.0033309376798570157,0.010009267251007259
39,0.026553045585751535,0.004181662132032216,0.014508801978081465,36.45103225708008,0.007296055555343628,0.013518835604190826,0.0007361679221503436,0.005173431616276503,35.30647354125976,0.0028014302253723143,0.008711029763799161
