epoch,train_total,train_class,train_param,train_closed_loop,val_total,val_class,val_param,val_closed_loop
1,0.741863751411438,0.768076479434967,0.35512458682060244,0.27009320333600045,0.6249915361404419,0.6492483854293823,0.29953476786613464,0.08326025456190109
2,0.6100997447967529,0.6091054618358612,0.3038377910852432,0.08546100854873658,0.5372883319854737,0.5182062745094299,0.27701750993728635,0.05838315784931183
3,0.5633685231208801,0.5363780975341796,0.29298620522022245,0.07310890927910804,0.4963915407657623,0.45374767780303954,0.26853458285331727,0.03277031630277634
4,0.5433397650718689,0.5103728264570236,0.2856477349996567,0.06264014057815075,0.4877741873264313,0.44235999584198,0.26538665890693663,0.03018807843327522
5,0.5286098778247833,0.48807900249958036,0.2818536549806595,0.05433440133929253,0.47772026658058164,0.42318912744522097,0.2646843433380127,0.028826894611120223
6,0.5146184206008911,0.46878373324871064,0.2772314250469208,0.049918670952320096,0.45636919140815735,0.39023067355155944,0.2601722598075867,0.018026566505432128
7,0.5027776420116424,0.45026843547821044,0.27444184124469756,0.045736924186348914,0.44757341742515566,0.3812611043453217,0.2555555999279022,0.0198178730905056
8,0.4942083597183228,0.43942510187625883,0.2712193548679352,0.040955645963549614,0.4250373959541321,0.33453199863433836,0.2564928948879242,0.015981221571564674
9,0.4838009089231491,0.4180406630039215,0.2711493015289307,0.04034749157726765,0.4097032487392426,0.3118401885032654,0.2523190438747406,0.016267795860767365
10,0.47646015882492065,0.40942275524139404,0.26788523197174074,0.03863555863499642,0.4040620863437653,0.30434480905532835,0.2504414677619934,0.014482140354812146
11,0.47605361938476565,0.40895719826221466,0.26697438955307007,0.041823891922831535,0.40567499995231626,0.3055594086647034,0.25133957862854006,0.014142973348498344
12,0.4622333288192749,0.38487074375152586,0.26522291600704195,0.03812534920871258,0.3870437562465668,0.2735688805580139,0.24863260984420776,0.013555797934532165
13,0.4519652783870697,0.3700802832841873,0.262275929749012,0.03576315753161907,0.3927221238613129,0.2858275413513184,0.2478426218032837,0.015120993927121162
14,0.4520691573619843,0.36916457414627074,0.2626426160335541,0.034601828455924986,0.3750515580177307,0.2412911534309387,0.25243517756462097,0.014077145978808403
15,0.44173716604709623,0.35090835094451905,0.26106332093477247,0.03479778580367565,0.36505348682403566,0.2346123993396759,0.2459273546934128,0.012132845632731915
16,0.43437463641166685,0.34419381320476533,0.25696219354867933,0.03322210274636746,0.37628990411758423,0.2571186423301697,0.24584681391716004,0.011773533001542092
17,0.42538774013519287,0.32389884889125825,0.2582221731543541,0.030683180689811705,0.3640636682510376,0.23164324164390565,0.24582439064979553,0.014221493154764175
18,0.4217789530754089,0.3226835489273071,0.2551229014992714,0.0295237323269248,0.3586524546146393,0.23116475939750672,0.2409939646720886,0.011533943749964238
19,0.42002302408218384,0.3173927992582321,0.2554884910583496,0.030727029591798783,0.35872526168823243,0.22563964426517485,0.24371120929718018,0.011548549495637416
20,0.41306981146335603,0.3053614482283592,0.2546780839562416,0.02855502311140299,0.3510837435722351,0.21101201474666595,0.24359414875507354,0.009917950630187989
21,0.41290846168994905,0.3069446712732315,0.253560371696949,0.027979812771081924,0.34713279008865355,0.21272721886634827,0.23875798881053925,0.009577064588665963
22,0.4082304298877716,0.2992767572402954,0.2525799348950386,0.02732781060039997,0.354390150308609,0.22334362268447877,0.24045512676239014,0.010287385620176791
23,0.40857785642147065,0.29854453802108766,0.25303675383329394,0.02725579347461462,0.35021333694458007,0.21174814701080322,0.24161040484905244,0.011864661797881126
24,0.40157797038555143,0.28883989751338957,0.2505528643727303,0.027521520294249056,0.3492952764034271,0.21813146471977235,0.23676445484161376,0.014437831193208694
25,0.3992973893880844,0.2878322467207909,0.24874812811613084,0.026532554253935813,0.3405564308166504,0.20419515967369078,0.2361542195081711,0.009218531847000121
26,0.39405744671821596,0.27385067045688627,0.25041971951723097,0.025816887617111206,0.3411104142665863,0.20621912479400634,0.23551499843597412,0.009560955129563809
27,0.3927293211221695,0.2771680921316147,0.24768389016389847,0.023931068554520606,0.3386726677417755,0.2046003520488739,0.23385142385959626,0.009337299317121506
28,0.3892557114362717,0.27453993558883666,0.24510842561721802,0.024561851657927035,0.34630346298217773,0.21766157150268556,0.23507823348045348,0.008551574498414993
29,0.3965135723352432,0.28132056444883347,0.24841572642326354,0.025646783784031867,0.3366230309009552,0.20402871072292328,0.23235184848308563,0.007782201375812292
30,0.38257503807544707,0.2594780012965202,0.24536597430706025,0.024900198541581632,0.33132765293121336,0.19281049370765685,0.23276764452457427,0.007182509638369083
31,0.38205558955669405,0.256186805665493,0.2464180901646614,0.024335766211152077,0.32469354271888734,0.18277795910835265,0.23128888607025147,0.006502157356590032
32,0.37691007256507875,0.25126078724861145,0.24368439018726348,0.023735269904136658,0.32771453857421873,0.18396551609039308,0.23247694373130798,0.010171350464224816
33,0.371266371011734,0.24362090677022935,0.24191372692584992,0.022855122573673725,0.33057073354721067,0.19078859090805053,0.23158866465091704,0.010872036218643188
34,0.3808781415224075,0.25667171776294706,0.24431916326284409,0.024185645021498205,0.328153258562088,0.1810669481754303,0.23373776376247407,0.01141766868531704
35,0.37138930559158323,0.24396043568849562,0.2411876440048218,0.023489833064377307,0.32362536191940305,0.18003973364830017,0.22974032163619995,0.011043316498398782
36,0.37117010951042173,0.24482013583183287,0.23989292681217195,0.02463088259100914,0.32793065905570984,0.1862635374069214,0.2308060646057129,0.011091206595301628
