epoch,train_loss,val_denoise_mse
1,0.5905648860020366,0.39603671312332156
10,0.25760275761994667,0.24339648365974426
20,0.23493367147453134,0.21602975726127624
30,0.2146543037470167,0.2048370361328125
40,0.1903199514815627,0.17250866889953614
50,0.18642831786190292,0.17941041946411132
60,0.17519771349176605,0.16440772831439973
70,0.17621302501233838,0.16406560063362122
80,0.16194292740795,0.1518980497121811
90,0.16558260620199494,0.1613924539089203
100,0.16663465948497003,0.16831777334213258
110,0.16231959210178717,0.15532468408346176
120,0.15984917277839497,0.1521473491191864
130,0.15875148583084736,0.13934511303901673
140,0.15849858106785525,0.15453329801559448
150,0.15115858122398884,0.1477255779504776
