fold,samples,mse,mae,rmse,nrmse,nrmse_pct,best_val_scaled_mse,epochs_ran
1,4089,37.350547790527344,1.5411754846572876,6.111509452707027,0.01815082383025291,1.8150823830252911,0.23444623889856625,103
2,4089,38.046756744384766,1.6727865934371948,6.168205309843761,0.018319207193275972,1.8319207193275973,0.24882124728432317,96
3,4089,43.195377349853516,1.5646425485610962,6.572319023742953,0.019519401169107015,1.9519401169107016,0.24332351238810948,116
4,4089,42.0140266418457,1.6677778959274292,6.48182278698251,0.01925332001566787,1.925332001566787,0.2627150489841414,82
5,4088,47.889041900634766,1.6852017641067505,6.92019088614142,0.020555429248693607,2.0555429248693606,0.2510684183898971,134
