epoch,train_total,train_curve,train_physics,val_total,val_curve,val_physics
1,0.7641968149668092,0.7641968149668092,0.0,0.35918598563172094,0.35918598563172094,0.0
2,0.26985700744542346,0.26985700744542346,0.0,0.15021455086940944,0.15021455086940944,0.0
3,0.12585744980698937,0.12585744980698937,0.0,0.08988323400533477,0.08988323400533477,0.0
4,0.07565101085195117,0.07565101085195117,0.0,0.06539073693890904,0.06539073693890904,0.0
5,0.05290276985734132,0.05290276985734132,0.0,0.0493170216679573,0.0493170216679573,0.0
6,0.042142190722523225,0.042142190722523225,0.0,0.0415878223558498,0.0415878223558498,0.0
7,0.034415477822730495,0.034415477822730495,0.0,0.034864480438274004,0.034864480438274004,0.0
8,0.030280417264409505,0.030280417264409505,0.0,0.03584856312981872,0.03584856312981872,0.0
9,0.027788159407817634,0.027788159407817634,0.0,0.031595795696904495,0.031595795696904495,0.0
10,0.025474415230713074,0.025474415230713074,0.0,0.028535000139544176,0.028535000139544176,0.0
11,0.022447791273237035,0.022447791273237035,0.0,0.026429935388786848,0.026429935388786848,0.0
12,0.021196737336172798,0.021196737336172798,0.0,0.025618008125660032,0.025618008125660032,0.0
13,0.019711278049144774,0.019711278049144774,0.0,0.02512447433762772,0.02512447433762772,0.0
14,0.01903302095308425,0.01903302095308425,0.0,0.0215680492911921,0.0215680492911921,0.0
15,0.018085911803564447,0.018085911803564447,0.0,0.022179422388936196,0.022179422388936196,0.0
16,0.01708631205141165,0.01708631205141165,0.0,0.022507220718923002,0.022507220718923002,0.0
17,0.01630025772721904,0.01630025772721904,0.0,0.02458984585868758,0.02458984585868758,0.0
18,0.015735518744891618,0.015735518744891618,0.0,0.023258927824019,0.023258927824019,0.0
19,0.016042385011863936,0.016042385011863936,0.0,0.02148042768239975,0.02148042768239975,0.0
20,0.014359231249304714,0.014359231249304714,0.0,0.020132820689400963,0.020132820689400963,0.0
21,0.014149873109332696,0.014149873109332696,0.0,0.02224351960819128,0.02224351960819128,0.0
22,0.013974857524891568,0.013974857524891568,0.0,0.020519223770256653,0.020519223770256653,0.0
23,0.012992029718366589,0.012992029718366589,0.0,0.021076230769760385,0.021076230769760385,0.0
24,0.01279271917097318,0.01279271917097318,0.0,0.0194137949279921,0.0194137949279921,0.0
25,0.01244008319487997,0.01244008319487997,0.0,0.019023427661768226,0.019023427661768226,0.0
26,0.012212257177396945,0.012212257177396945,0.0,0.01849598504689544,0.01849598504689544,0.0
27,0.012412013951689005,0.012412013951689005,0.0,0.017517707561857478,0.017517707561857478,0.0
28,0.011404962096197211,0.011404962096197211,0.0,0.017691261672176595,0.017691261672176595,0.0
29,0.011884165421175728,0.011884165421175728,0.0,0.01819883856142676,0.01819883856142676,0.0
30,0.011291223429855267,0.011291223429855267,0.0,0.0174157056784214,0.0174157056784214,0.0
31,0.011353364777247047,0.011353364777247047,0.0,0.018663462823213534,0.018663462823213534,0.0
32,0.010334857412655453,0.010334857412655453,0.0,0.016073601974477603,0.016073601974477603,0.0
33,0.010035111404552011,0.010035111404552011,0.0,0.016974424700750862,0.016974424700750862,0.0
34,0.009877000651826524,0.009877000651826524,0.0,0.019067326205414396,0.019067326205414396,0.0
35,0.010767273348607834,0.010767273348607834,0.0,0.01850039333884799,0.01850039333884799,0.0
36,0.00948335787957641,0.00948335787957641,0.0,0.017030043371541556,0.017030043371541556,0.0
37,0.009672827181068195,0.009672827181068195,0.0,0.017602913874353088,0.017602913874353088,0.0
38,0.009430890536279815,0.009430890536279815,0.0,0.017055576147381648,0.017055576147381648,0.0
39,0.00925309124942513,0.00925309124942513,0.0,0.019092290575594403,0.019092290575594403,0.0
40,0.009377856735306181,0.009377856735306181,0.0,0.01837158058878294,0.01837158058878294,0.0
41,0.009292678940732768,0.009292678940732768,0.0,0.01630196604704441,0.01630196604704441,0.0
42,0.009373233497593622,0.009373233497593622,0.0,0.016455004173655842,0.016455004173655842,0.0
43,0.008743306808173656,0.008743306808173656,0.0,0.015835032083613927,0.015835032083613927,0.0
44,0.008601430445245117,0.008601430445245117,0.0,0.015882088694461557,0.015882088694461557,0.0
45,0.009369621938391096,0.009369621938391096,0.0,0.015936520782321,0.015936520782321,0.0
46,0.008658104222030586,0.008658104222030586,0.0,0.016619019972723584,0.016619019972723584,0.0
47,0.008246819062490657,0.008246819062490657,0.0,0.01707291027834249,0.01707291027834249,0.0
48,0.008148516344416674,0.008148516344416674,0.0,0.015565836005086122,0.015565836005086122,0.0
49,0.00814216268266652,0.00814216268266652,0.0,0.015023593630555065,0.015023593630555065,0.0
50,0.0077846160514434435,0.0077846160514434435,0.0,0.015459471975648125,0.015459471975648125,0.0
