sample_id,curve_id,load_case,deployment,response_axis,step,force,displacement,signed_force,signed_displacement,converged
miura_00006,0,bending,0.3,z,1,0.1,1.46387036269239e-06,-0.1,-1.46387036269239e-06,1
miura_00006,0,bending,0.3,z,2,0.2,2.92727887381089e-06,-0.2,-2.92727887381089e-06,1
miura_00006,0,bending,0.3,z,3,0.3,4.39068362585361e-06,-0.3,-4.39068362585361e-06,1
miura_00006,0,bending,0.3,z,4,0.4,5.85408189008097e-06,-0.4,-5.85408189008097e-06,1
miura_00006,0,bending,0.3,z,5,0.5,7.31747528776355e-06,-0.5,-7.31747528776355e-06,1
miura_00006,0,bending,0.3,z,6,0.6,8.78086327169949e-06,-0.6,-8.78086327169949e-06,1
miura_00006,0,bending,0.3,z,7,0.7,1.02442464033178e-05,-0.7,-1.02442464033178e-05,1
miura_00006,0,bending,0.3,z,8,0.8,1.17076250900547e-05,-0.8,-1.17076250900547e-05,1
miura_00006,0,bending,0.3,z,9,0.9,1.31709980754693e-05,-0.9,-1.31709980754693e-05,1
miura_00006,0,bending,0.3,z,10,1,1.4634366840736e-05,-1,-1.4634366840736e-05,1
miura_00006,0,bending,0.3,z,11,1.1,1.60977301192227e-05,-1.1,-1.60977301192227e-05,1
miura_00006,0,bending,0.3,z,12,1.2,1.75610891863533e-05,-1.2,-1.75610891863533e-05,1
miura_00006,0,bending,0.3,z,13,1.3,1.90244434403572e-05,-1.3,-1.90244434403572e-05,1
miura_00006,0,bending,0.3,z,14,1.4,2.04877931259223e-05,-1.4,-2.04877931259223e-05,1
miura_00006,0,bending,0.3,z,15,1.5,2.1951138063645e-05,-1.5,-2.1951138063645e-05,1
miura_00006,0,bending,0.3,z,16,1.6,2.34144786460527e-05,-1.6,-2.34144786460527e-05,1
miura_00006,0,bending,0.3,z,17,1.7,2.48778146495916e-05,-1.7,-2.48778146495916e-05,1
miura_00006,0,bending,0.3,z,18,1.8,2.63411465632137e-05,-1.8,-2.63411465632137e-05,1
miura_00006,0,bending,0.3,z,19,1.9,2.7804473936418e-05,-1.9,-2.7804473936418e-05,1
miura_00006,0,bending,0.3,z,20,2,2.92677973193261e-05,-2,-2.92677973193261e-05,1
miura_00006,0,bending,0.3,z,21,2.1,3.07311162788007e-05,-2.1,-3.07311162788007e-05,1
miura_00006,0,bending,0.3,z,22,2.2,3.21944313747381e-05,-2.2,-3.21944313747381e-05,1
miura_00006,0,bending,0.3,z,23,2.3,3.36577424478907e-05,-2.3,-3.36577424478907e-05,1
miura_00006,0,bending,0.3,z,24,2.4,3.51210492543833e-05,-2.4,-3.51210492543833e-05,1
miura_00006,0,bending,0.3,z,25,2.5,3.65843523838198e-05,-2.5,-3.65843523838198e-05,1
miura_00006,0,bending,0.3,z,26,2.6,3.80476515963239e-05,-2.6,-3.80476515963239e-05,1
miura_00006,0,bending,0.3,z,27,2.7,3.95109470870025e-05,-2.7,-3.95109470870025e-05,1
miura_00006,0,bending,0.3,z,28,2.8,4.09742388365158e-05,-2.8,-4.09742388365158e-05,1
miura_00006,0,bending,0.3,z,29,2.9,4.24375268740565e-05,-2.9,-4.24375268740565e-05,1
miura_00006,0,bending,0.3,z,30,3,4.39008113886825e-05,-3,-4.39008113886825e-05,1
miura_00006,1,bending,0.6,z,1,0.1,4.89952760379829e-06,-0.1,-4.89952760379829e-06,1
miura_00006,1,bending,0.6,z,2,0.2,9.79931974136348e-06,-0.2,-9.79931974136348e-06,1
miura_00006,1,bending,0.6,z,3,0.3,1.4699089085388e-05,-0.3,-1.4699089085388e-05,1
miura_00006,1,bending,0.6,z,4,0.4,1.95988411012097e-05,-0.4,-1.95988411012097e-05,1
miura_00006,1,bending,0.6,z,5,0.5,2.44985725127514e-05,-0.5,-2.44985725127514e-05,1
miura_00006,1,bending,0.6,z,6,0.6,2.93982836920058e-05,-0.6,-2.93982836920058e-05,1
miura_00006,1,bending,0.6,z,7,0.7,3.42979759310797e-05,-0.7,-3.42979759310797e-05,1
miura_00006,1,bending,0.6,z,8,0.8,3.91976484681797e-05,-0.8,-3.91976484681797e-05,1
miura_00006,1,bending,0.6,z,9,0.9,4.40973009715329e-05,-0.9,-4.40973009715329e-05,1
miura_00006,1,bending,0.6,z,10,1,4.8996934438246e-05,-1,-4.8996934438246e-05,1
miura_00006,1,bending,0.6,z,11,1.1,5.38965481447882e-05,-1.1,-5.38965481447882e-05,1
miura_00006,1,bending,0.6,z,12,1.2,5.87961421297816e-05,-1.2,-5.87961421297816e-05,1
miura_00006,1,bending,0.6,z,13,1.3,6.36957172292334e-05,-1.3,-6.36957172292334e-05,1
miura_00006,1,bending,0.6,z,14,1.4,6.85952729674943e-05,-1.4,-6.85952729674943e-05,1
miura_00006,1,bending,0.6,z,15,1.5,7.34948095235447e-05,-1.5,-7.34948095235447e-05,1
miura_00006,1,bending,0.6,z,16,1.6,7.83943272439782e-05,-1.6,-7.83943272439782e-05,1
miura_00006,1,bending,0.6,z,17,1.7,8.32938255062432e-05,-1.7,-8.32938255062432e-05,1
miura_00006,1,bending,0.6,z,18,1.8,8.81933046878013e-05,-1.8,-8.81933046878013e-05,1
miura_00006,1,bending,0.6,z,19,1.9,9.30927649539648e-05,-1.9,-9.30927649539648e-05,1
miura_00006,1,bending,0.6,z,20,2,9.79922063580728e-05,-2,-9.79922063580728e-05,1
miura_00006,1,bending,0.6,z,21,2.1,0.000102891628952727,-2.1,-0.000102891628952727,1
miura_00006,1,bending,0.6,z,22,2.2,0.000107791032817206,-2.2,-0.000107791032817206,1
miura_00006,1,bending,0.6,z,23,2.3,0.000112690417986656,-2.3,-0.000112690417986656,1
miura_00006,1,bending,0.6,z,24,2.4,0.000117589784540341,-2.4,-0.000117589784540341,1
miura_00006,1,bending,0.6,z,25,2.5,0.000122489132411973,-2.5,-0.000122489132411973,1
miura_00006,1,bending,0.6,z,26,2.6,0.000127388461793313,-2.6,-0.000127388461793313,1
miura_00006,1,bending,0.6,z,27,2.7,0.000132287772452571,-2.7,-0.000132287772452571,1
miura_00006,1,bending,0.6,z,28,2.8,0.000137187065213931,-2.8,-0.000137187065213931,1
miura_00006,1,bending,0.6,z,29,2.9,0.000142086339276379,-2.9,-0.000142086339276379,1
miura_00006,1,bending,0.6,z,30,3,0.000146985595150108,-3,-0.000146985595150108,1
miura_00006,2,bending,0.9,z,1,0.1,1.00280907652913e-05,-0.1,-1.00280907652913e-05,1
miura_00006,2,bending,0.9,z,2,0.2,2.00557934163504e-05,-0.2,-2.00557934163504e-05,1
miura_00006,2,bending,0.9,z,3,0.3,3.00834397667581e-05,-0.3,-3.00834397667581e-05,1
miura_00006,2,bending,0.9,z,4,0.4,4.01110262479153e-05,-0.4,-4.01110262479153e-05,1
miura_00006,2,bending,0.9,z,5,0.5,5.01385544599402e-05,-0.5,-5.01385544599402e-05,1
miura_00006,2,bending,0.9,z,6,0.6,6.0166023649299e-05,-0.6,-6.0166023649299e-05,1
miura_00006,2,bending,0.9,z,7,0.7,7.01934337580474e-05,-0.7,-7.01934337580474e-05,1
miura_00006,2,bending,0.9,z,8,0.8,8.02207840797948e-05,-0.8,-8.02207840797948e-05,1
miura_00006,2,bending,0.9,z,9,0.9,9.02480753584497e-05,-0.9,-9.02480753584497e-05,1
miura_00006,2,bending,0.9,z,10,1,0.000100275306558018,-1,-0.000100275306558018,1
miura_00006,2,bending,0.9,z,11,1.1,0.000110302478123315,-1.1,-0.000110302478123315,1
miura_00006,2,bending,0.9,z,12,1.2,0.000120329589826621,-1.2,-0.000120329589826621,1
miura_00006,2,bending,0.9,z,13,1.3,0.0001303566414865,-1.3,-0.0001303566414865,1
miura_00006,2,bending,0.9,z,14,1.4,0.000140383632886739,-1.4,-0.000140383632886739,1
miura_00006,2,bending,0.9,z,15,1.5,0.000150410563671015,-1.5,-0.000150410563671015,1
miura_00006,2,bending,0.9,z,16,1.6,0.00016043743386709,-1.6,-0.00016043743386709,1
miura_00006,2,bending,0.9,z,17,1.7,0.00017046424334447,-1.7,-0.00017046424334447,1
