sample_id,curve_id,load_case,deployment,response_axis,step,force,displacement,signed_force,signed_displacement,converged
miura_00001,0,bending,0.3,z,1,0.1,7.47157290811939e-07,-0.1,-7.47157290811939e-07,1
miura_00001,0,bending,0.3,z,2,0.2,1.49413149964114e-06,-0.2,-1.49413149964114e-06,1
miura_00001,0,bending,0.3,z,3,0.3,2.24110300970723e-06,-0.3,-2.24110300970723e-06,1
miura_00001,0,bending,0.3,z,4,0.4,2.98807663282279e-06,-0.4,-2.98807663282279e-06,1
miura_00001,0,bending,0.3,z,5,0.5,3.7350523233931e-06,-0.5,-3.7350523233931e-06,1
miura_00001,0,bending,0.3,z,6,0.6,4.4820294310956e-06,-0.6,-4.4820294310956e-06,1
miura_00001,0,bending,0.3,z,7,0.7,5.22900644753156e-06,-0.7,-5.22900644753156e-06,1
miura_00001,0,bending,0.3,z,8,0.8,5.97598531619382e-06,-0.8,-5.97598531619382e-06,1
miura_00001,0,bending,0.3,z,9,0.9,6.72296588504705e-06,-0.9,-6.72296588504705e-06,1
miura_00001,0,bending,0.3,z,10,1,7.46994771271829e-06,-1,-7.46994771271829e-06,1
miura_00001,0,bending,0.3,z,11,1.1,8.21692996671402e-06,-1.1,-8.21692996671402e-06,1
miura_00001,0,bending,0.3,z,12,1.2,8.9639141512478e-06,-1.2,-8.9639141512478e-06,1
miura_00001,0,bending,0.3,z,13,1.3,9.71090003077458e-06,-1.3,-9.71090003077458e-06,1
miura_00001,0,bending,0.3,z,14,1.4,1.0457886661517e-05,-1.4,-1.0457886661517e-05,1
miura_00001,0,bending,0.3,z,15,1.5,1.12048751772815e-05,-1.5,-1.12048751772815e-05,1
miura_00001,0,bending,0.3,z,16,1.6,1.19518647695693e-05,-1.6,-1.19518647695693e-05,1
miura_00001,0,bending,0.3,z,17,1.7,1.26988559619313e-05,-1.7,-1.26988559619313e-05,1
miura_00001,0,bending,0.3,z,18,1.8,1.34458483874643e-05,-1.8,-1.34458483874643e-05,1
miura_00001,0,bending,0.3,z,19,1.9,1.4192842265778e-05,-1.9,-1.4192842265778e-05,1
miura_00001,0,bending,0.3,z,20,2,1.49398378056706e-05,-2,-1.49398378056706e-05,1
miura_00001,0,bending,0.3,z,21,2.1,1.56868347944585e-05,-2.1,-1.56868347944585e-05,1
miura_00001,0,bending,0.3,z,22,2.2,1.64338328205904e-05,-2.2,-1.64338328205904e-05,1
miura_00001,0,bending,0.3,z,23,2.3,1.71808330236587e-05,-2.3,-1.71808330236587e-05,1
miura_00001,0,bending,0.3,z,24,2.4,1.79278340997277e-05,-2.4,-1.79278340997277e-05,1
miura_00001,0,bending,0.3,z,25,2.5,1.86748372319955e-05,-2.5,-1.86748372319955e-05,1
miura_00001,0,bending,0.3,z,26,2.6,1.94218416970054e-05,-2.6,-1.94218416970054e-05,1
miura_00001,0,bending,0.3,z,27,2.7,2.01688479249019e-05,-2.7,-2.01688479249019e-05,1
miura_00001,0,bending,0.3,z,28,2.8,2.09158553233676e-05,-2.8,-2.09158553233676e-05,1
miura_00001,0,bending,0.3,z,29,2.9,2.16628646449749e-05,-2.9,-2.16628646449749e-05,1
miura_00001,0,bending,0.3,z,30,3,2.24098756198519e-05,-3,-2.24098756198519e-05,1
miura_00001,1,bending,0.6,z,1,0.1,2.45681810599512e-06,-0.1,-2.45681810599512e-06,1
miura_00001,1,bending,0.6,z,2,0.2,4.91349370365918e-06,-0.2,-4.91349370365918e-06,1
miura_00001,1,bending,0.6,z,3,0.3,7.37017208828439e-06,-0.3,-7.37017208828439e-06,1
miura_00001,1,bending,0.6,z,4,0.4,9.82685196062524e-06,-0.4,-9.82685196062524e-06,1
miura_00001,1,bending,0.6,z,5,0.5,1.2283533061806e-05,-0.5,-1.2283533061806e-05,1
miura_00001,1,bending,0.6,z,6,0.6,1.47402147310109e-05,-0.6,-1.47402147310109e-05,1
miura_00001,1,bending,0.6,z,7,0.7,1.71968972909988e-05,-0.7,-1.71968972909988e-05,1
miura_00001,1,bending,0.6,z,8,0.8,1.96535798619272e-05,-0.8,-1.96535798619272e-05,1
miura_00001,1,bending,0.6,z,9,0.9,2.21102644852592e-05,-0.9,-2.21102644852592e-05,1
miura_00001,1,bending,0.6,z,10,1,2.45669495583599e-05,-1,-2.45669495583599e-05,1
miura_00001,1,bending,0.6,z,11,1.1,2.70236355893649e-05,-1.1,-2.70236355893649e-05,1
miura_00001,1,bending,0.6,z,12,1.2,2.94803232097431e-05,-1.2,-2.94803232097431e-05,1
miura_00001,1,bending,0.6,z,13,1.3,3.19370114138402e-05,-1.3,-3.19370114138402e-05,1
miura_00001,1,bending,0.6,z,14,1.4,3.43937007963023e-05,-1.4,-3.43937007963023e-05,1
miura_00001,1,bending,0.6,z,15,1.5,3.68503908674483e-05,-1.5,-3.68503908674483e-05,1
miura_00001,1,bending,0.6,z,16,1.6,3.93070822616966e-05,-1.6,-3.93070822616966e-05,1
miura_00001,1,bending,0.6,z,17,1.7,4.1763774607215e-05,-1.7,-4.1763774607215e-05,1
miura_00001,1,bending,0.6,z,18,1.8,4.42204684073542e-05,-1.8,-4.42204684073542e-05,1
miura_00001,1,bending,0.6,z,19,1.9,4.66771633683792e-05,-1.9,-4.66771633683792e-05,1
miura_00001,1,bending,0.6,z,20,2,4.91338592401845e-05,-2,-4.91338592401845e-05,1
