sample_id,curve_id,load_case,deployment,response_axis,step,force,displacement,signed_force,signed_displacement,converged
miura_00005,0,bending,0.3,z,1,0.1,4.36869920637139e-07,-0.1,-4.36869920637139e-07,1
miura_00005,0,bending,0.3,z,2,0.2,8.73673015607576e-07,-0.2,-8.73673015607576e-07,1
miura_00005,0,bending,0.3,z,3,0.3,1.31048551226812e-06,-0.3,-1.31048551226812e-06,1
miura_00005,0,bending,0.3,z,4,0.4,1.74729949311447e-06,-0.4,-1.74729949311447e-06,1
miura_00005,0,bending,0.3,z,5,0.5,2.18411191250437e-06,-0.5,-2.18411191250437e-06,1
miura_00005,0,bending,0.3,z,6,0.6,2.62092398310326e-06,-0.6,-2.62092398310326e-06,1
miura_00005,0,bending,0.3,z,7,0.7,3.05773821209644e-06,-0.7,-3.05773821209644e-06,1
miura_00005,0,bending,0.3,z,8,0.8,3.494552231746e-06,-0.8,-3.494552231746e-06,1
miura_00005,0,bending,0.3,z,9,0.9,3.93136650700922e-06,-0.9,-3.93136650700922e-06,1
miura_00005,0,bending,0.3,z,10,1,4.36818102256587e-06,-1,-4.36818102256587e-06,1
miura_00005,0,bending,0.3,z,11,1.1,4.80499717466561e-06,-1.1,-4.80499717466561e-06,1
miura_00005,0,bending,0.3,z,12,1.2,5.24181239349891e-06,-1.2,-5.24181239349891e-06,1
miura_00005,0,bending,0.3,z,13,1.3,5.67862896053407e-06,-1.3,-5.67862896053407e-06,1
miura_00005,0,bending,0.3,z,14,1.4,6.11544587465309e-06,-1.4,-6.11544587465309e-06,1
miura_00005,0,bending,0.3,z,15,1.5,6.5522632775283e-06,-1.5,-6.5522632775283e-06,1
miura_00005,0,bending,0.3,z,16,1.6,6.98908097527483e-06,-1.6,-6.98908097527483e-06,1
miura_00005,0,bending,0.3,z,17,1.7,7.42589996525794e-06,-1.7,-7.42589996525794e-06,1
miura_00005,0,bending,0.3,z,18,1.8,7.86271923236956e-06,-1.8,-7.86271923236956e-06,1
miura_00005,0,bending,0.3,z,19,1.9,8.2995389316524e-06,-1.9,-8.2995389316524e-06,1
miura_00005,0,bending,0.3,z,20,2,8.73635862950871e-06,-2,-8.73635862950871e-06,1
miura_00005,0,bending,0.3,z,21,2.1,9.17317992818849e-06,-2.1,-9.17317992818849e-06,1
miura_00005,0,bending,0.3,z,22,2.2,9.61000097939829e-06,-2.2,-9.61000097939829e-06,1
miura_00005,0,bending,0.3,z,23,2.3,1.00468229097936e-05,-2.3,-1.00468229097936e-05,1
miura_00005,0,bending,0.3,z,24,2.4,1.04836458225251e-05,-2.4,-1.04836458225251e-05,1
miura_00005,0,bending,0.3,z,25,2.5,1.09204683794765e-05,-2.5,-1.09204683794765e-05,1
miura_00005,0,bending,0.3,z,26,2.6,1.13572923743293e-05,-2.6,-1.13572923743293e-05,1
miura_00005,0,bending,0.3,z,27,2.7,1.17941166537286e-05,-2.7,-1.17941166537286e-05,1
miura_00005,0,bending,0.3,z,28,2.8,1.22309417055292e-05,-2.8,-1.22309417055292e-05,1
miura_00005,0,bending,0.3,z,29,2.9,1.26677675004972e-05,-2.9,-1.26677675004972e-05,1
miura_00005,0,bending,0.3,z,30,3,1.31045937074122e-05,-3,-1.31045937074122e-05,1
miura_00005,1,bending,0.6,z,1,0.1,1.44478213042427e-06,-0.1,-1.44478213042427e-06,1
miura_00005,1,bending,0.6,z,2,0.2,2.88973105415875e-06,-0.2,-2.88973105415875e-06,1
miura_00005,1,bending,0.6,z,3,0.3,4.33468709499816e-06,-0.3,-4.33468709499816e-06,1
miura_00005,1,bending,0.6,z,4,0.4,5.7796428972547e-06,-0.4,-5.7796428972547e-06,1
miura_00005,1,bending,0.6,z,5,0.5,7.22460060474849e-06,-0.5,-7.22460060474849e-06,1
miura_00005,1,bending,0.6,z,6,0.6,8.6695576335658e-06,-0.6,-8.6695576335658e-06,1
miura_00005,1,bending,0.6,z,7,0.7,1.01145152742035e-05,-0.7,-1.01145152742035e-05,1
miura_00005,1,bending,0.6,z,8,0.8,1.15594744432287e-05,-0.8,-1.15594744432287e-05,1
miura_00005,1,bending,0.6,z,9,0.9,1.30044329453607e-05,-0.9,-1.30044329453607e-05,1
miura_00005,1,bending,0.6,z,10,1,1.44493932711712e-05,-1,-1.44493932711712e-05,1
miura_00005,1,bending,0.6,z,11,1.1,1.58943548750358e-05,-1.1,-1.58943548750358e-05,1
miura_00005,1,bending,0.6,z,12,1.2,1.7339316407338e-05,-1.2,-1.7339316407338e-05,1
miura_00005,1,bending,0.6,z,13,1.3,1.87842778587484e-05,-1.3,-1.87842778587484e-05,1
miura_00005,1,bending,0.6,z,14,1.4,2.02292422865496e-05,-1.4,-2.02292422865496e-05,1
miura_00005,1,bending,0.6,z,15,1.5,2.16742050084248e-05,-1.5,-2.16742050084248e-05,1
miura_00005,1,bending,0.6,z,16,1.6,2.31191701198752e-05,-1.6,-2.31191701198752e-05,1
miura_00005,1,bending,0.6,z,17,1.7,2.45641355445425e-05,-1.7,-2.45641355445425e-05,1
miura_00005,1,bending,0.6,z,18,1.8,2.60091020710747e-05,-1.8,-2.60091020710747e-05,1
miura_00005,1,bending,0.6,z,19,1.9,2.74540694517617e-05,-1.9,-2.74540694517617e-05,1
miura_00005,1,bending,0.6,z,20,2,2.88990374029852e-05,-2,-2.88990374029852e-05,1
miura_00005,1,bending,0.6,z,21,2.1,3.03440059607542e-05,-2.1,-3.03440059607542e-05,1
miura_00005,1,bending,0.6,z,22,2.2,3.17889757750573e-05,-2.2,-3.17889757750573e-05,1
miura_00005,1,bending,0.6,z,23,2.3,3.32339464458877e-05,-2.3,-3.32339464458877e-05,1
miura_00005,1,bending,0.6,z,24,2.4,3.46789181184196e-05,-2.4,-3.46789181184196e-05,1
miura_00005,1,bending,0.6,z,25,2.5,3.61238903837845e-05,-2.5,-3.61238903837845e-05,1
miura_00005,1,bending,0.6,z,26,2.6,3.75688635363755e-05,-2.6,-3.75688635363755e-05,1
miura_00005,1,bending,0.6,z,27,2.7,3.90138379517808e-05,-2.7,-3.90138379517808e-05,1
miura_00005,1,bending,0.6,z,28,2.8,4.04588131182156e-05,-2.8,-4.04588131182156e-05,1
miura_00005,1,bending,0.6,z,29,2.9,4.19037891195853e-05,-2.9,-4.19037891195853e-05,1
miura_00005,1,bending,0.6,z,30,3,4.33487662526073e-05,-3,-4.33487662526073e-05,1
miura_00005,2,bending,0.9,z,1,0.1,3.94152256381571e-06,-0.1,-3.94152256381571e-06,1
miura_00005,2,bending,0.9,z,2,0.2,7.88292956959749e-06,-0.2,-7.88292956959749e-06,1
miura_00005,2,bending,0.9,z,3,0.3,1.18243329900544e-05,-0.3,-1.18243329900544e-05,1
miura_00005,2,bending,0.9,z,4,0.4,1.57657330600832e-05,-0.4,-1.57657330600832e-05,1
miura_00005,2,bending,0.9,z,5,0.5,1.97071339158475e-05,-0.5,-1.97071339158475e-05,1
miura_00005,2,bending,0.9,z,6,0.6,2.36485364392499e-05,-0.6,-2.36485364392499e-05,1
miura_00005,2,bending,0.9,z,7,0.7,2.75899394924819e-05,-0.7,-2.75899394924819e-05,1
miura_00005,2,bending,0.9,z,8,0.8,3.15313413262411e-05,-0.8,-3.15313413262411e-05,1
miura_00005,2,bending,0.9,z,9,0.9,3.54727427603022e-05,-0.9,-3.54727427603022e-05,1
miura_00005,2,bending,0.9,z,10,1,3.94141447128545e-05,-1,-3.94141447128545e-05,1
miura_00005,2,bending,0.9,z,11,1.1,4.33555455234813e-05,-1.1,-4.33555455234813e-05,1
miura_00005,2,bending,0.9,z,12,1.2,4.72969470049132e-05,-1.2,-4.72969470049132e-05,1
miura_00005,2,bending,0.9,z,13,1.3,5.12383481055476e-05,-1.3,-5.12383481055476e-05,1
miura_00005,2,bending,0.9,z,14,1.4,5.5179748939684e-05,-1.4,-5.5179748939684e-05,1
miura_00005,2,bending,0.9,z,15,1.5,5.91211501174796e-05,-1.5,-5.91211501174796e-05,1
miura_00005,2,bending,0.9,z,16,1.6,6.30625507613253e-05,-1.6,-6.30625507613253e-05,1
miura_00005,2,bending,0.9,z,17,1.7,6.7003950920333e-05,-1.7,-6.7003950920333e-05,1
miura_00005,2,bending,0.9,z,18,1.8,7.09453513036431e-05,-1.8,-7.09453513036431e-05,1
miura_00005,2,bending,0.9,z,19,1.9,7.48867510960939e-05,-1.9,-7.48867510960939e-05,1
miura_00005,2,bending,0.9,z,20,2,7.88281516614634e-05,-2,-7.88281516614634e-05,1
miura_00005,2,bending,0.9,z,21,2.1,8.27695511270055e-05,-2.1,-8.27695511270055e-05,1
miura_00005,2,bending,0.9,z,22,2.2,8.67109508218808e-05,-2.2,-8.67109508218808e-05,1
miura_00005,2,bending,0.9,z,23,2.3,9.06523504211913e-05,-2.3,-9.06523504211913e-05,1
miura_00005,2,bending,0.9,z,24,2.4,9.45937493014981e-05,-2.4,-9.45937493014981e-05,1
miura_00005,2,bending,0.9,z,25,2.5,9.85351484479248e-05,-2.5,-9.85351484479248e-05,1
miura_00005,2,bending,0.9,z,26,2.6,0.000102476547113141,-2.6,-0.000102476547113141,1
miura_00005,2,bending,0.9,z,27,2.7,0.000106417945740064,-2.7,-0.000106417945740064,1
miura_00005,2,bending,0.9,z,28,2.8,0.000110359344208296,-2.8,-0.000110359344208296,1
miura_00005,2,bending,0.9,z,29,2.9,0.000114300742458608,-2.9,-0.000114300742458608,1
miura_00005,2,bending,0.9,z,30,3,0.000118242140625363,-3,-0.000118242140625363,1
miura_00005,3,axial,0.3,x,1,0.1,1.24089847402108e-05,0.1,1.24089847402108e-05,1
miura_00005,3,axial,0.3,x,2,0.2,2.48163646047002e-05,0.2,2.48163646047002e-05,1
miura_00005,3,axial,0.3,x,3,0.3,3.72219312017695e-05,0.3,3.72219312017695e-05,1
miura_00005,3,axial,0.3,x,4,0.4,4.96256857849172e-05,0.4,4.96256857849172e-05,1
miura_00005,3,axial,0.3,x,5,0.5,6.20276196407783e-05,0.5,6.20276196407783e-05,1
miura_00005,3,axial,0.3,x,6,0.6,7.4427739577901e-05,0.6,7.4427739577901e-05,1
miura_00005,3,axial,0.3,x,7,0.7,8.68260439376848e-05,0.7,8.68260439376848e-05,1
miura_00005,3,axial,0.3,x,8,0.8,9.92225314378014e-05,0.8,9.92225314378014e-05,1
miura_00005,3,axial,0.3,x,9,0.9,0.000111617205261446,0.9,0.000111617205261446,1
miura_00005,3,axial,0.3,x,10,1,0.000124010063352673,1,0.000124010063352673,1
miura_00005,3,axial,0.3,x,11,1.1,0.000136401107566698,1.1,0.000136401107566698,1
