sample_id,curve_id,load_case,deployment,response_axis,step,force,displacement,signed_force,signed_displacement,converged
miura_00003,1,bending,0.6,z,23,2.3,1.55150242230222e-05,-2.3,-1.55150242230222e-05,1
miura_00003,1,bending,0.6,z,24,2.4,1.61896006834537e-05,-2.4,-1.61896006834537e-05,1
miura_00003,1,bending,0.6,z,25,2.5,1.68641773137293e-05,-2.5,-1.68641773137293e-05,1
miura_00003,1,bending,0.6,z,26,2.6,1.75387538873362e-05,-2.6,-1.75387538873362e-05,1
miura_00003,1,bending,0.6,z,27,2.7,1.82133316422701e-05,-2.7,-1.82133316422701e-05,1
miura_00003,1,bending,0.6,z,28,2.8,1.88879080903347e-05,-2.8,-1.88879080903347e-05,1
miura_00003,1,bending,0.6,z,29,2.9,1.95624851022226e-05,-2.9,-1.95624851022226e-05,1
miura_00003,1,bending,0.6,z,30,3,2.02370628870437e-05,-3,-2.02370628870437e-05,1
miura_00003,2,bending,0.9,z,1,0.1,2.37736833555751e-06,-0.1,-2.37736833555751e-06,1
miura_00003,2,bending,0.9,z,2,0.2,4.75461729379893e-06,-0.2,-4.75461729379893e-06,1
miura_00003,2,bending,0.9,z,3,0.3,7.13184429461467e-06,-0.3,-7.13184429461467e-06,1
miura_00003,2,bending,0.9,z,4,0.4,9.5090741169617e-06,-0.4,-9.5090741169617e-06,1
miura_00003,2,bending,0.9,z,5,0.5,1.18862989343121e-05,-0.5,-1.18862989343121e-05,1
miura_00003,2,bending,0.9,z,6,0.6,1.42635264298014e-05,-0.6,-1.42635264298014e-05,1
miura_00003,2,bending,0.9,z,7,0.7,1.66407550489234e-05,-0.7,-1.66407550489234e-05,1
miura_00003,2,bending,0.9,z,8,0.8,1.90179858474691e-05,-0.8,-1.90179858474691e-05,1
miura_00003,2,bending,0.9,z,9,0.9,2.13952172836412e-05,-0.9,-2.13952172836412e-05,1
miura_00003,2,bending,0.9,z,10,1,2.3772446093962e-05,-1,-2.3772446093962e-05,1
miura_00003,2,bending,0.9,z,11,1.1,2.61496753848158e-05,-1.1,-2.61496753848158e-05,1
miura_00003,2,bending,0.9,z,12,1.2,2.85269063970848e-05,-1.2,-2.85269063970848e-05,1
miura_00003,2,bending,0.9,z,13,1.3,3.09041377625944e-05,-1.3,-3.09041377625944e-05,1
miura_00003,2,bending,0.9,z,14,1.4,3.32813684353024e-05,-1.4,-3.32813684353024e-05,1
miura_00003,2,bending,0.9,z,15,1.5,3.56585989399766e-05,-1.5,-3.56585989399766e-05,1
miura_00003,2,bending,0.9,z,16,1.6,3.80358308146523e-05,-1.6,-3.80358308146523e-05,1
miura_00003,2,bending,0.9,z,17,1.7,4.04130628938307e-05,-1.7,-4.04130628938307e-05,1
miura_00003,2,bending,0.9,z,18,1.8,4.27902948475995e-05,-1.8,-4.27902948475995e-05,1
miura_00003,2,bending,0.9,z,19,1.9,4.5167527817207e-05,-1.9,-4.5167527817207e-05,1
miura_00003,2,bending,0.9,z,20,2,4.75447601407491e-05,-2,-4.75447601407491e-05,1
miura_00003,2,bending,0.9,z,21,2.1,4.9921993346263e-05,-2.1,-4.9921993346263e-05,1
miura_00003,2,bending,0.9,z,22,2.2,5.2299226525932e-05,-2.2,-5.2299226525932e-05,1
miura_00003,2,bending,0.9,z,23,2.3,5.46764598430001e-05,-2.3,-5.46764598430001e-05,1
miura_00003,2,bending,0.9,z,24,2.4,5.70536940435669e-05,-2.4,-5.70536940435669e-05,1
miura_00003,2,bending,0.9,z,25,2.5,5.94309278542179e-05,-2.5,-5.94309278542179e-05,1
miura_00003,2,bending,0.9,z,26,2.6,6.18081614753715e-05,-2.6,-6.18081614753715e-05,1
miura_00003,2,bending,0.9,z,27,2.7,6.41853965141724e-05,-2.7,-6.41853965141724e-05,1
miura_00003,2,bending,0.9,z,28,2.8,6.65626311539235e-05,-2.8,-6.65626311539235e-05,1
miura_00003,2,bending,0.9,z,29,2.9,6.8939865544434e-05,-2.9,-6.8939865544434e-05,1
miura_00003,2,bending,0.9,z,30,3,7.13171015384563e-05,-3,-7.13171015384563e-05,1
miura_00003,3,axial,0.3,x,1,0.1,2.57727917835725e-06,0.1,2.57727917835725e-06,1
miura_00003,3,axial,0.3,x,2,0.2,5.15455611448808e-06,0.2,5.15455611448808e-06,1
miura_00003,3,axial,0.3,x,3,0.3,7.73179026764291e-06,0.3,7.73179026764291e-06,1
miura_00003,3,axial,0.3,x,4,0.4,1.03089409841976e-05,0.4,1.03089409841976e-05,1
miura_00003,3,axial,0.3,x,5,0.5,1.28860245506894e-05,0.5,1.28860245506894e-05,1
miura_00003,3,axial,0.3,x,6,0.6,1.5463041714906e-05,0.6,1.5463041714906e-05,1
miura_00003,3,axial,0.3,x,7,0.7,1.80399855665394e-05,0.7,1.80399855665394e-05,1
miura_00003,3,axial,0.3,x,8,0.8,2.06168573707866e-05,0.8,2.06168573707866e-05,1
miura_00003,3,axial,0.3,x,9,0.9,2.31936628749552e-05,0.9,2.31936628749552e-05,1
miura_00003,3,axial,0.3,x,10,1,2.57703960521569e-05,1,2.57703960521569e-05,1
miura_00003,3,axial,0.3,x,11,1.1,2.83470622974774e-05,1.1,2.83470622974774e-05,1
miura_00003,3,axial,0.3,x,12,1.2,3.09236547900315e-05,1.2,3.09236547900315e-05,1
miura_00003,3,axial,0.3,x,13,1.3,3.35001773446527e-05,1.3,3.35001773446527e-05,1
