epoch,train_total,train_curve,train_physics,train_smoothness,train_force_monotonic,train_displacement_monotonic,val_total,val_curve,val_physics,val_smoothness,val_force_monotonic,val_displacement_monotonic
1,0.49622125026209046,0.4844895735653286,0.23463317496542485,2.0729876138066267e-06,0.0,0.0,0.23395546197891234,0.2249278861284256,0.18055050671100617,5.014077287341934e-06,0.0,0.0
2,0.16544786412466908,0.1578564785229854,0.15182418580760504,1.7533441105325795e-05,0.0,0.0,0.09853367388248443,0.09271578222513199,0.11635374039411545,2.0380800924613142e-05,0.0,0.0
3,0.0890971751530667,0.08390614990054107,0.10381353304041707,3.479608379093929e-05,0.0,0.0,0.05929986029863357,0.05519208565354347,0.08214805841445923,3.724569600308314e-05,0.0,0.0
4,0.05834873534361596,0.054336616057690565,0.0802314766986136,5.4599293451939706e-05,0.0,0.0,0.03755448915064335,0.03426451906561852,0.06578811645507812,5.644274133373983e-05,0.0,0.0
5,0.04292664186606152,0.03961910702768082,0.06613582745427411,7.432496907297822e-05,0.0,0.0,0.03161720812320709,0.02892047867178917,0.05392082318663597,6.8762275041081e-05,0.0,0.0
6,0.0326942433675913,0.029917669325852634,0.05551361361794579,8.930823614952178e-05,0.0,0.0,0.022575500532984735,0.020344083160161973,0.04461113288998604,8.606089075328782e-05,0.0,0.0
7,0.026985757772795032,0.024592726440719324,0.04783986681714663,0.0001038268727995266,0.0,0.0,0.01814819756895304,0.01624934148043394,0.0379582367837429,9.441617818083615e-05,0.0,0.0
8,0.022133748681331666,0.020052651386053357,0.041598728253943534,0.00011607640603764869,0.0,0.0,0.014066773019731044,0.012479342687875032,0.031726660802960396,0.00010972253599902615,0.0,0.0
9,0.019382191813778624,0.017518534211487306,0.03724788399582136,0.00012634993783297894,0.0,0.0,0.0139255166426301,0.012486715652048588,0.0287527634203434,0.00011630280292592942,0.0,0.0
10,0.016664115466839116,0.014978148417082558,0.03369315568383333,0.00013093856181924622,0.0,0.0,0.012194434553384781,0.010897754952311515,0.025910638868808747,0.00011476454063085839,0.0,0.0
11,0.015503390618204474,0.013942656495734779,0.031187733511828943,0.00013476157177771424,0.0,0.0,0.011035083513706922,0.00982748469337821,0.02412903815507889,0.00011466418305644766,0.0,0.0
12,0.014233390484972065,0.01277182206134076,0.02920512611825739,0.00013120661060042735,0.0,0.0,0.008087036013603211,0.0069998166430741545,0.02172161504626274,0.00011386432859580964,0.0,0.0
13,0.012662377140908185,0.01130124439530219,0.027196528582255342,0.00013063832726849394,0.0,0.0,0.011594968289136887,0.010579868108034135,0.020280068814754484,0.00010967550304485485,0.0,0.0
14,0.012210976803620545,0.010914247716864976,0.025908826368676266,0.00012878390645859193,0.0,0.0,0.007676661461591721,0.006725821308791637,0.01899484895169735,0.00010977816913509741,0.0,0.0
15,0.010487124608075939,0.009271810310610277,0.024280424424918314,0.00012931093321337053,0.0,0.0,0.0068752852454781535,0.006017642766237259,0.017131107859313488,0.00010871860344195738,0.0,0.0
