epoch,train_loss,val_denoise_mse
1,0.5905648812120449,0.3960367226600647
10,0.25760271364334897,0.24339627742767334
20,0.23493350729150575,0.21602938055992127
30,0.2146538500117838,0.20483383893966675
40,0.19032074774780297,0.17251116514205933
50,0.1864296485849885,0.1794321793317795
60,0.17519841409795653,0.16440913796424866
70,0.17618842862821357,0.16404870748519898
80,0.16227214654361255,0.15337087631225585
90,0.16407673262185496,0.157434641122818
100,0.1666901096878684,0.1646931391954422
110,0.16110063573954775,0.15373829364776612
120,0.16059888037314185,0.1510047858953476
130,0.15589437237227238,0.14060225009918212
140,0.15961625844967076,0.15576372027397156
150,0.15216050367380696,0.1476910102367401
