epoch,train_total,train_noise,train_x0,train_class,train_param,train_closed_loop,val_total,val_noise,val_x0,val_class,val_param,val_closed_loop,val_select
1,2.192007613182068,72.91308631896973,0.7894197821617126,3.5517404556274412,0.40333041548728943,0.4702712118625641,1.0595205068588256,44.1369873046875,0.5857470035552979,1.4747035026550293,0.31357902884483335,0.20285274386405944,2.57688227891922
2,0.9897545456886292,71.1959213256836,0.5813528537750244,1.325446081161499,0.3099034667015076,0.2075369745492935,0.7952285885810852,44.532525634765626,0.5175751447677612,1.0537267684936524,0.2537416577339172,0.13473058640956878,1.9597741574048997
3,0.8800451397895813,43.76111488342285,0.5317242741584778,1.2059277534484862,0.25438933074474335,0.14678723514080047,0.6746416568756104,26.281398010253906,0.4950313687324524,0.8876215934753418,0.2106345474720001,0.0870726153254509,1.6803601250052451
4,0.6825719833374023,38.43803062438965,0.4456376194953918,0.8903435587882995,0.21250257194042205,0.1046296402812004,0.5961110591888428,22.750831604003906,0.3842350959777832,0.7994845271110534,0.17506033182144165,0.08386853933334351,1.442648494243622
5,0.6195240974426269,26.35610179901123,0.38902066349983216,0.8207735896110535,0.18194090723991393,0.09224413633346558,0.5971893787384033,17.351885986328124,0.37092779874801635,0.8313690662384033,0.1564220070838928,0.060794761031866075,1.4195136331021785
6,0.5998816967010498,15.534102058410644,0.34524968862533567,0.8153550624847412,0.16337565183639527,0.07826082855463028,0.4948902249336243,10.875269317626953,0.3099998891353607,0.6490638017654419,0.1451050579547882,0.053420867025852206,1.157589615881443
7,0.5459430158138275,13.66252269744873,0.32517114877700803,0.7011965751647949,0.1639667272567749,0.06686897426843644,0.4916143178939819,8.738804244995118,0.3138433814048767,0.6138635039329529,0.15504403710365294,0.04976584538817406,1.1325167678296566
8,0.5462354898452759,13.841176414489746,0.30713280439376833,0.7062098503112793,0.15924632847309111,0.0634186953306198,0.49941669702529906,14.48425350189209,0.2750015020370483,0.6606667041778564,0.13956884741783143,0.04028686136007309,1.1155239149928093
9,0.5176778733730316,8.782717609405518,0.28355276584625244,0.6666641116142273,0.14939480423927307,0.05424567312002182,0.4680253446102142,9.369977951049805,0.25863587856292725,0.6029665350914002,0.135215625166893,0.03964277654886246,1.036460815370083
10,0.5120135188102722,14.039538764953614,0.2720701456069946,0.6541801691055298,0.14769228398799897,0.05155831053853035,0.49565722942352297,4.594035911560058,0.26543003916740415,0.6300825476646423,0.14510999917984008,0.03723545670509339,1.07785804271698
11,0.4594517707824707,8.2320387840271,0.2560474514961243,0.5543262362480164,0.14386449456214906,0.046801885962486266,0.4453516662120819,7.059989643096924,0.23545680940151215,0.5592509508132935,0.13132261633872985,0.029501719027757646,0.9555320955812932
