epoch,train_total,train_noise,train_x0,train_class,train_param,train_closed_loop,val_total,val_noise,val_x0,val_class,val_param,val_closed_loop,val_select
1,3.318482685089111,1.1594538927078246,1.6264018774032594,3.357510042190552,0.47453553080558775,0.6597173929214477,2.427824926376343,0.9587456226348877,1.1434555053710938,2.1623066902160644,0.38386026620864866,0.47010218501091006,4.159724646806717
2,2.138748550415039,0.8531044006347657,1.0036710262298585,1.8251034021377563,0.3652580678462982,0.48233851194381716,1.5626698970794677,0.6796560764312745,0.6988796472549439,1.1761651039123535,0.28916152119636535,0.36731891632080077,2.5315251886844634
3,1.6453365564346314,0.6970554947853088,0.6928567051887512,1.302751851081848,0.2884539604187012,0.3555571734905243,1.3678157567977904,0.6049182534217834,0.5671263933181763,1.0436076402664185,0.23507689833641052,0.23098360896110534,2.0767945408821107
4,1.3738367080688476,0.6179707884788513,0.505408090353012,1.0407488107681275,0.22772971391677857,0.23646586537361144,1.2111758708953857,0.5901851415634155,0.35218586921691897,0.8989177227020264,0.1666300565004349,0.13943468332290648,1.5571683317422869
5,1.1852189302444458,0.5798328638076782,0.42006046772003175,0.8023441195487976,0.19636449217796326,0.1879628926515579,1.0714373588562012,0.5728330373764038,0.34596933126449586,0.6565050840377807,0.16494732201099396,0.1123863324522972,1.2798080697655678
6,1.1304272890090943,0.563104796409607,0.3975929141044617,0.7604005694389343,0.17907241880893707,0.14904869198799134,0.9983216285705566,0.5072549700736999,0.3303270101547241,0.6596559882164001,0.15500616431236267,0.10865303128957748,1.2536421939730644
7,1.1154894351959228,0.5273013234138488,0.3818821132183075,0.7882002472877503,0.1847977966070175,0.15086885690689086,0.9758143782615661,0.5005112528800965,0.3263444423675537,0.60740527510643,0.16493375301361085,0.09257659316062927,1.1912600636482238
8,1.0636943101882934,0.5245479226112366,0.38668962717056277,0.6991607069969177,0.17989044785499572,0.1258830338716507,0.9509190559387207,0.5005902647972107,0.3512309968471527,0.5688307046890259,0.15800487697124482,0.09234306961297989,1.1704096481204032
9,1.0116442918777466,0.5163294315338135,0.35482543110847475,0.6360656261444092,0.1668811172246933,0.12468402236700057,0.9338728189468384,0.49651007652282714,0.30270067453384397,0.5530758857727051,0.15301247537136078,0.08279688209295273,1.0915859177708627
10,1.0206261992454528,0.5055657863616944,0.33520662784576416,0.6768806099891662,0.1659356415271759,0.11312715262174607,0.8813467621803284,0.45138779282569885,0.30953116416931153,0.5355269551277161,0.15414682328701018,0.06811392158269883,1.0673188641667368
11,0.9602077722549438,0.5042202055454255,0.32114561796188357,0.5749264597892761,0.1578523874282837,0.09769230484962463,0.8615461468696595,0.4498771905899048,0.28462456464767455,0.5239361643791198,0.14116873145103453,0.06974205970764161,1.0194715201854707
12,0.9519872784614563,0.49263585805892945,0.3188930332660675,0.5814672827720642,0.15709449648857116,0.09638668745756149,0.7829220294952393,0.4655872702598572,0.2470994472503662,0.34796717166900637,0.1352009505033493,0.061706441640853885,0.7919740110635758
13,0.9425552010536193,0.490466570854187,0.30865883231163027,0.569874930381775,0.1549665868282318,0.09485765993595123,0.8528434634208679,0.4539865911006927,0.2809227406978607,0.49426557421684264,0.14084452092647554,0.08310077637434006,0.999133612215519
14,0.9391045093536377,0.4734178602695465,0.3146809279918671,0.5948054552078247,0.15507822930812837,0.09424861073493958,0.7917484879493714,0.4604106545448303,0.2748252391815186,0.3481880784034729,0.14766214787960052,0.054433175921440126,0.8251086413860321
15,0.8917894721031189,0.476568466424942,0.2904896676540375,0.5018595099449158,0.15163368880748748,0.08162029981613159,0.8098567962646485,0.47315980195999147,0.255340051651001,0.3856242597103119,0.1344287097454071,0.049480190128088,0.824873211234808
16,0.8759347558021545,0.472167444229126,0.2895324230194092,0.4826281666755676,0.1490437000989914,0.08075918257236481,0.7618322610855103,0.43097853660583496,0.2593963146209717,0.36661213636398315,0.136827489733696,0.05618292316794395,0.8190188638865947
17,0.8800287485122681,0.4601757049560547,0.28797059655189516,0.5178016901016236,0.1469482034444809,0.0783614233136177,0.8344185948371887,0.4061039388179779,0.27361358404159547,0.5528055906295777,0.14006825685501098,0.05725205093622208,1.0237394824624062
18,0.8483680486679077,0.46079316139221194,0.2784049451351166,0.4555899441242218,0.14475750625133516,0.08339411616325379,0.803069019317627,0.4324365735054016,0.26369975209236146,0.45004806518554685,0.13370280265808104,0.053175096213817594,0.900625716149807
19,0.850744104385376,0.45680682063102723,0.288661128282547,0.46523932218551634,0.14603766798973083,0.07424332052469254,0.7635789394378663,0.42082895040512086,0.26064946353435514,0.3962572455406189,0.13272421360015868,0.04703814908862114,0.8366690717637539
20,0.847006618976593,0.447074693441391,0.2860942602157593,0.4829438805580139,0.1428757429122925,0.07001405879855156,0.7044183373451233,0.4072908043861389,0.23765988647937775,0.3221809506416321,0.12430432885885238,0.04602973908185959,0.7301749050617218
21,0.8434712767601014,0.44853745102882386,0.2792840898036957,0.46799018383026125,0.14448773264884948,0.07289085537195206,0.7259156465530395,0.4068033158779144,0.23236825466156005,0.35749263763427735,0.12852478325366973,0.043063368648290634,0.7614490441977977
22,0.8400027394294739,0.45365187525749207,0.2670551359653473,0.46110622882843016,0.13977911770343782,0.06550755202770234,0.7202642679214477,0.400886470079422,0.22838976383209228,0.36170990467071534,0.12645393908023833,0.041200307011604306,0.7577539145946501
23,0.7843796968460083,0.42856423258781434,0.2571568667888641,0.40761282444000246,0.1361270695924759,0.06095706969499588,0.6743056774139404,0.3811598062515259,0.22704213261604309,0.30638527274131777,0.12831370830535888,0.03310052901506424,0.694841642677784
24,0.7743262052536011,0.41543546319007874,0.258868145942688,0.403726851940155,0.1404923290014267,0.060131198912858966,0.7472057700157165,0.4268489718437195,0.22821303009986876,0.3575107753276825,0.12897761166095734,0.036734630912542345,0.751436048001051
25,0.7908791065216064,0.42921326756477357,0.2453673243522644,0.42584813833236695,0.13243747055530547,0.05682412162423134,0.690513014793396,0.37995123863220215,0.2166733741760254,0.350834584236145,0.1231040045619011,0.031321652233600616,0.7219336152076721
26,0.7772408366203308,0.41707491874694824,0.25716395378112794,0.40511611104011536,0.1397654592990875,0.06009989604353905,0.6747518301010131,0.4063836336135864,0.2095070958137512,0.2724973767995834,0.12015665024518966,0.02916980944573879,0.6313309323042631
27,0.7679675340652465,0.41355742812156676,0.2512138307094574,0.40106916427612305,0.13651105761528015,0.05326157659292221,0.6505221605300904,0.36345067620277405,0.21737810969352722,0.2948682248592377,0.12514611929655076,0.04212896153330803,0.6795214153826237
28,0.7556283354759217,0.405620676279068,0.2446810394525528,0.40040258765220643,0.13137034177780152,0.05828172713518143,0.6749513864517211,0.3999548077583313,0.21553728878498077,0.2781120419502258,0.12281382381916046,0.029101112484931947,0.645564267039299
29,0.7387577176094056,0.40291903018951414,0.24152752161026,0.37765364050865174,0.12894050925970077,0.05217164382338524,0.6305447578430176,0.368851101398468,0.21112800240516663,0.25702998638153074,0.1200529620051384,0.02718341499567032,0.6153943657875061
30,0.7297523856163025,0.39208075404167175,0.23962401747703552,0.3789306581020355,0.12964812368154527,0.05183402970433235,0.6448851943016052,0.3703830659389496,0.21196330785751344,0.27291507422924044,0.12440871000289917,0.027316804230213165,0.6366038963198662
31,0.7342572569847107,0.4020962595939636,0.23430546522140502,0.3667372763156891,0.13045695126056672,0.04800132140517235,0.6768664836883544,0.39072460532188413,0.20255902111530305,0.3090127110481262,0.11722228229045868,0.03222109824419021,0.6610151126980781
32,0.7127886533737182,0.3754828929901123,0.23968740701675414,0.3729432702064514,0.13095950186252595,0.05231005847454071,0.6370048880577087,0.3677107930183411,0.19922725558280946,0.2869744300842285,0.1127206727862358,0.022020535171031953,0.6209428936243058
33,0.7252153158187866,0.39770790934562683,0.23136400282382966,0.36006938219070433,0.12851465195417405,0.04548803269863129,0.6419087886810303,0.37398557662963866,0.19105346202850343,0.2899449050426483,0.10973893404006958,0.022755777463316917,0.6134930785745383
34,0.7092331767082214,0.38174110651016235,0.23432550728321075,0.3493979454040527,0.13290485143661498,0.04669206738471985,0.6433899998664856,0.3756678104400635,0.19489770531654357,0.27893604040145875,0.11461409777402878,0.021766480430960654,0.6102143239229917
35,0.6892673373222351,0.3828973650932312,0.22588098049163818,0.32214732766151427,0.12594085037708283,0.04283839091658592,0.60382581949234,0.35922240614891054,0.1827944338321686,0.2406422019004822,0.11117343902587891,0.020069753751158714,0.5546798285096884
36,0.675869631767273,0.3690185546875,0.22764312326908112,0.31485695838928224,0.12879737168550492,0.04629175662994385,0.621868121623993,0.37804495096206664,0.18834148347377777,0.23501623868942262,0.11178384870290756,0.02422632873058319,0.5593678995966911
37,0.7222190976142884,0.3825434625148773,0.23285819888114928,0.375749272108078,0.13046273589134216,0.04548463225364685,0.5887587070465088,0.3587816894054413,0.17988505959510803,0.21489299237728118,0.10884246230125427,0.02002391144633293,0.5236444257199765
38,0.6661661505699158,0.3564704120159149,0.22520865499973297,0.3238804876804352,0.12725941240787506,0.04031163081526756,0.5677969336509705,0.3222093105316162,0.1927957445383072,0.22429312467575074,0.11868702322244644,0.019814151152968407,0.5555900435894727
39,0.6721622347831726,0.37526450157165525,0.20995004177093507,0.31307901740074157,0.12089398950338363,0.0368315152823925,0.5404115796089173,0.3352126479148865,0.17634480595588684,0.16588618755340576,0.10858333706855774,0.01721198335289955,0.4680263139307499
40,0.6779720544815063,0.37259088158607484,0.22156838774681092,0.3159999489784241,0.12645087540149688,0.03818099275231361,0.5930398344993592,0.35026570558547976,0.1940181165933609,0.21754514575004577,0.11881319135427475,0.0177364032715559,0.5481128569692373
41,0.6728309035301209,0.3669651627540588,0.21615177094936372,0.31943013668060305,0.1254105657339096,0.036325718462467196,0.5724360942840576,0.33749879002571104,0.17712793946266175,0.21963764131069183,0.11041113883256912,0.01860453002154827,0.525781249627471
42,0.6625490188598633,0.3613821566104889,0.21448444724082946,0.30992876887321474,0.1243921846151352,0.039513136446475985,0.6170836448669433,0.34695133566856384,0.20012248158454896,0.2710445523262024,0.11742073744535446,0.02181696742773056,0.6104047387838363
43,0.6718114018440247,0.3666709899902344,0.22283535897731782,0.31138835549354554,0.12626683413982392,0.04096055254340172,0.5981704473495484,0.337469482421875,0.19470492601394654,0.267689710855484,0.1105769395828247,0.017305553518235685,0.5902771299704909
44,0.6509467363357544,0.36776300668716433,0.21305613219738007,0.28070674538612367,0.12050392925739288,0.03756694570183754,0.5497005105018615,0.31520622968673706,0.18631456792354584,0.21663694083690643,0.11033628433942795,0.016103381663560866,0.5293911747634411
45,0.6655814051628113,0.3701355755329132,0.21189250349998473,0.30751840472221376,0.11952494382858277,0.034928660839796066,0.5847968935966492,0.3437121093273163,0.18206204175949098,0.22987848222255708,0.11046082228422165,0.015091278217732906,0.5374926244840026
46,0.6550054907798767,0.363607132434845,0.21951391398906708,0.283019158244133,0.12693392038345336,0.03394950553774834,0.5698395371437073,0.33617759943008424,0.17562287747859956,0.220969295501709,0.10736082941293716,0.016080186888575553,0.5200331892818213
47,0.6388570308685303,0.35176658630371094,0.2040483444929123,0.29101837873458863,0.1188152477145195,0.035662096738815305,0.6185204029083252,0.3557724952697754,0.1945846438407898,0.2616253077983856,0.1142286479473114,0.016971853375434876,0.5874104529619216
48,0.6457371234893798,0.35656328201293946,0.2072761505842209,0.2911190927028656,0.12016248553991318,0.035533008724451066,0.5557690858840942,0.327681303024292,0.17756813168525695,0.20350130796432495,0.1097528338432312,0.015830730274319648,0.5066530037671327
49,0.6270654797554016,0.3513171970844269,0.20273476243019103,0.2682517677545547,0.11763170957565308,0.03710080534219742,0.5685809254646301,0.3136677801609039,0.18390780091285705,0.2507133662700653,0.1118597850203514,0.01705893874168396,0.5635398909449577
50,0.622928261756897,0.35113297700881957,0.20000928938388823,0.25873456299304964,0.11842532902956009,0.03600791096687317,0.5630545973777771,0.325051349401474,0.17295246422290803,0.22927804589271544,0.1062597930431366,0.01653195172548294,0.525022254884243
51,0.6181518077850342,0.3509834766387939,0.198573037981987,0.25174796879291533,0.11756925582885742,0.033467726409435274,0.5547015786170959,0.33178107142448426,0.1853951930999756,0.18336282968521117,0.11292780786752701,0.016190248541533947,0.4978760791942477
52,0.6327508926391602,0.3515984058380127,0.21018438339233397,0.26661881506443025,0.12260428369045258,0.03401702046394348,0.5571669101715088,0.3368826150894165,0.1674981653690338,0.1992567479610443,0.10392780900001526,0.014089351892471314,0.4847720742225647
53,0.610770297050476,0.3495532155036926,0.19793572425842285,0.23998899459838868,0.11703058183193207,0.03190982043743133,0.5693379044532776,0.3074888586997986,0.1887541562318802,0.2560523450374603,0.11407470256090164,0.017895227298140526,0.5767764311283827
54,0.6315292358398438,0.3482478976249695,0.20769109725952148,0.2728080958127975,0.12178886383771896,0.030612796172499658,0.565458607673645,0.3152776896953583,0.19004870653152467,0.23238576650619508,0.11464035958051681,0.014643444679677486,0.551718277297914
55,0.6209775924682617,0.3490046918392181,0.20160345435142518,0.2530472993850708,0.12004922926425934,0.03188261575996876,0.5401254892349243,0.302801251411438,0.17513834238052367,0.21896966695785522,0.1089198648929596,0.016256752610206603,0.5192846268415451
56,0.6164638638496399,0.34017878770828247,0.20679662525653839,0.2492036461830139,0.12443314790725708,0.03528275266289711,0.5568983674049377,0.31619195342063905,0.19133616387844085,0.20192956924438477,0.11974416077136993,0.01401868388056755,0.5270285777747632
57,0.6001171946525574,0.3356374025344849,0.19791716635227202,0.2419934868812561,0.11776263564825058,0.030871845409274103,0.5381523609161377,0.30344243049621583,0.174716579914093,0.2097841680049896,0.11012939512729644,0.016667373478412628,0.5112975165247917
58,0.6092382550239563,0.34049254059791567,0.19799380898475646,0.2462473541498184,0.1193241149187088,0.031284408271312715,0.5560856938362122,0.3123536050319672,0.18582316040992736,0.21490561366081237,0.11614981591701508,0.013664926588535308,0.5305435165762902
