epoch,train_total,train_class,train_param,train_kl,train_closed_loop,val_total,val_class,val_param,val_kl,val_closed_loop,val_select
1,1.3460554361343384,0.8043566763401031,0.9402155458927155,1.1981762126088142,0.3654289022088051,0.9685873985290527,0.6998651266098023,0.6175312519073486,2.748002624511719,0.11098574846982956,1.4283821269869805
2,0.7240610748529435,0.6425710380077362,0.401021446287632,8.969219160079955,0.08322083950042725,0.4047091782093048,0.5614617347717286,0.12297716736793518,21.352410125732423,0.03938049376010895,0.7238193958997727
3,0.3902734965085983,0.5263652622699737,0.12500755116343498,30.791117858886718,0.054048113897442816,0.29131069779396057,0.4542365431785583,0.06266091614961625,38.35484237670899,0.03187307640910149,0.5487705357372761
4,0.27618008852005005,0.40513029396533967,0.07126240953803062,46.27490386962891,0.035675940476357935,0.1829965204000473,0.276965594291687,0.04276415929198265,52.28123016357422,0.01759830564260483,0.33732805922627446
5,0.16275219172239302,0.2056718647480011,0.05720386803150177,57.98797798156738,0.02525384780019522,0.0898510605096817,0.08728824555873871,0.043370353430509566,65.78807678222657,0.023837651312351226,0.1544962503015995
6,0.09376910403370857,0.07544488236308097,0.05244334079325199,69.68801040649414,0.025211341679096222,0.05002894550561905,0.02364221028983593,0.03510992005467415,73.11851196289062,0.015072749555110931,0.07382487989962101
7,0.06944742053747177,0.03414946161210537,0.04827682413160801,74.9531379699707,0.021035798452794553,0.045847448706626895,0.01530411820858717,0.03457742556929588,76.28851928710938,0.013540942035615445,0.06342248581349849
8,0.057582225650548935,0.024036165699362753,0.04119111001491547,76.45770721435547,0.016434063483029605,0.03132380172610283,0.008106399700045586,0.02360272631049156,76.50785827636719,0.0075945047661662105,0.039303630776703354
9,0.05082624964416027,0.020143826585263015,0.036021551489830016,76.0412826538086,0.014565861038863658,0.027113191038370132,0.007610257156193257,0.019457313045859338,74.90140838623047,0.005335400812327862,0.03240297101438046
10,0.04759313203394413,0.01871720692142844,0.033000363036990166,74.46660995483398,0.015108348149806262,0.03188171610236168,0.006934514455497265,0.023559655994176865,73.29386901855469,0.011901098862290382,0.04239526931196451
11,0.04648897536098957,0.017731087189167737,0.03213580697774887,72.42548980712891,0.013674755394458771,0.029132971540093422,0.005903978925198316,0.021544647961854936,70.67269897460938,0.006812138855457306,0.03426076574251056
12,0.04355633109807968,0.01546016875654459,0.030154544860124588,70.11721725463867,0.012205565813928843,0.02428419515490532,0.005972362495958805,0.016362614184617996,69.52685546875,0.006364905927330256,0.028699882607907058
13,0.03838170431554318,0.01185880284756422,0.026549080573022365,68.47579727172851,0.011171502247452735,0.02005150094628334,0.003990518860518932,0.013058486580848693,67.08397827148437,0.004902284126728773,0.0219512895680964
14,0.03316112942993641,0.007057776162400842,0.023553047329187393,66.66090240478516,0.01009237002581358,0.01813363879919052,0.0018775415141135455,0.011950545385479927,65.19688491821289,0.004861004836857319,0.01868909173645079
