epoch,train_total,train_curve,train_physics,train_smoothness,train_force_monotonic,train_displacement_monotonic,val_total,val_curve,val_physics,val_smoothness,val_force_monotonic,val_displacement_monotonic
1,0.5276150560379028,0.5147497102618217,0.23056879729032517,0.13368986949324607,0.0,0.04083270154893398,0.24250041365623473,0.23241039335727692,0.1680954873561859,0.1685249215364456,0.0,0.05394478619098663
2,0.16711605548858643,0.16043519079685212,0.11131809934973717,0.11149591028690338,0.0,0.03403348173946142,0.11334870785474777,0.10889878749847412,0.08060276508331299,0.04197834193706512,0.0,0.011061962358653546
3,0.08423736236989499,0.08019388243556022,0.06798727139830589,0.06441158525645733,0.0,0.016961216069757937,0.054049184322357176,0.05122923791408539,0.052280191630125046,0.020593751445412634,0.0,0.004281987547874451
4,0.04833297856152058,0.04535939261317253,0.04914798490703106,0.05161865204572678,0.0,0.012774598598480225,0.029833527356386183,0.027769584953784943,0.03866387844085693,0.013074878714978694,0.0,0.0023041949793696404
5,0.03339995041489601,0.030932264551520348,0.04043532192707062,0.044591980278491976,0.0,0.010669651459902525,0.022348385080695154,0.02062214657664299,0.03272204279899597,0.00901367224752903,0.0,0.001357623590156436
6,0.025477858055382968,0.02333733260631561,0.03494423780590296,0.039331359788775444,0.0,0.00919169551692903,0.018321782052516937,0.01683431103825569,0.028326705247163773,0.007113547548651695,0.0,0.000957740880548954
7,0.021216513644903897,0.019294431302696466,0.031310440972447395,0.035656030401587484,0.0,0.008134661195799708,0.015001971535384654,0.013650692291557789,0.02584247849881649,0.005915542524307966,0.0,0.0007144805556163192
8,0.01847099296748638,0.01672791752964258,0.02838506668806076,0.032382207103073594,0.0,0.007222771365195513,0.013468103557825089,0.012261890061199664,0.02315820015966892,0.004830351080745459,0.0,0.0005212540877982974
9,0.01708044881001115,0.015460685323923827,0.026454194486141204,0.029705380611121653,0.0,0.006502458630129695,0.014097538776695728,0.012981762737035751,0.02137407273054123,0.004707222934812307,0.0,0.0004867756762541831
10,0.016448180302977563,0.01493712542578578,0.024687750563025475,0.02766675554215908,0.0,0.005956894159317017,0.01521068938076496,0.014169229790568352,0.019982335940003395,0.004234283473342657,0.0,0.0004059540876187384
11,0.015260668098926544,0.013840781580656767,0.023180618919432162,0.02608556121587753,0.0,0.005514527847990394,0.01301227480173111,0.01203394740819931,0.01888575702905655,0.003403971381485462,0.0,0.0002949086017906666
12,0.01421936448663473,0.01287806898355484,0.021903402879834177,0.024612541161477566,0.0,0.005118027273565531,0.010932188797742128,0.01002970987930894,0.01738835297524929,0.003306121565401554,0.0,0.0002776753494981676
13,0.013184801619499921,0.011902477629482745,0.02091709204018116,0.02364693593233824,0.0,0.0048646188713610174,0.009796195421367884,0.008952432181686162,0.01631288982927799,0.002811877252534032,0.0,0.00021879638778045773
14,0.012249100655317306,0.011035052919760346,0.019837293289601803,0.022218304947018624,0.0,0.004517580890096724,0.009978528674691916,0.009182625208050013,0.015363091714680194,0.00277489117346704,0.0,0.00020464043249376117
15,0.012524143643677235,0.011346711236983538,0.01930528461933136,0.021216816939413546,0.0,0.004258061205036938,0.010939672365784645,0.010141305588185788,0.015474332720041275,0.002465018415823579,0.0,0.00016958828608039766
16,0.011716767670586705,0.010581959635019303,0.01859175067394972,0.02052204802632332,0.0,0.004056734838522971,0.010212953072041273,0.009435910042375326,0.015099103935062886,0.0022087633423507214,0.0,0.0001429669972276315
17,0.010863469094038009,0.009773676376789808,0.017865148521959782,0.01965351738035679,0.0,0.003837672104127705,0.00909120298922062,0.008382585719227792,0.013750574365258218,0.002108862278982997,0.0,0.0001294995634816587
