epoch,train_total,train_pattern_acc,train_m_acc,train_n_acc,val_total,val_pattern_acc,val_m_acc,val_n_acc
1,0.7580743610858918,0.851171875,0.4171875,0.586328125,0.6165347695350647,0.9703125,0.4703125,0.6734375
2,0.55940563082695,0.967578125,0.462890625,0.753125,0.48241710662841797,0.9921875,0.4609375,0.8203125
3,0.4799042999744415,0.984765625,0.5015625,0.823828125,0.43068240880966185,0.99375,0.5375,0.8421875
4,0.44466079473495485,0.98671875,0.51484375,0.86015625,0.3881616234779358,0.99375,0.5125,0.903125
5,0.4172536045312881,0.98359375,0.557421875,0.86640625,0.3512588977813721,0.996875,0.6265625,0.921875
6,0.4002848446369171,0.983984375,0.57734375,0.877734375,0.3374453365802765,0.996875,0.6484375,0.9046875
7,0.37700373232364653,0.987109375,0.61328125,0.88203125,0.3081007242202759,0.996875,0.6640625,0.9359375
8,0.360961976647377,0.98828125,0.626171875,0.889453125,0.2798483848571777,0.996875,0.709375,0.95625
9,0.34871996343135836,0.986328125,0.623828125,0.903125,0.2856253504753113,0.996875,0.725,0.9140625
10,0.3261224091053009,0.9921875,0.66171875,0.91015625,0.26101804375648496,0.9984375,0.671875,0.9671875
11,0.30140258371829987,0.990234375,0.68515625,0.91875,0.24749545454978944,0.9984375,0.703125,0.9640625
12,0.30278427600860597,0.985546875,0.683984375,0.925,0.22776775658130646,0.9984375,0.7296875,0.978125
13,0.2936570346355438,0.991796875,0.684375,0.927734375,0.20890853106975554,0.9984375,0.7453125,0.9875
14,0.28311359882354736,0.9921875,0.692578125,0.923046875,0.2176608443260193,0.996875,0.7328125,0.9640625
15,0.2826715692877769,0.98984375,0.697265625,0.91796875,0.22105081081390382,0.9984375,0.7046875,0.99375
16,0.2735733941197395,0.9921875,0.685546875,0.934375,0.21129502058029176,0.996875,0.7265625,0.9875
17,0.269911552965641,0.991015625,0.682421875,0.944921875,0.21663632690906526,0.9984375,0.721875,0.9859375
18,0.2596279725432396,0.990625,0.708203125,0.95078125,0.21867598593235016,0.9953125,0.7296875,0.9828125
19,0.2592100828886032,0.99296875,0.705859375,0.950390625,0.1878707379102707,0.9984375,0.7515625,0.9890625
20,0.24855970591306686,0.99609375,0.709765625,0.959765625,0.1862604022026062,0.9984375,0.753125,0.99375
21,0.243923619389534,0.99375,0.71640625,0.95546875,0.1855879992246628,0.9984375,0.7515625,0.99375
22,0.24233834445476532,0.995703125,0.725,0.953515625,0.1907029628753662,0.9984375,0.7609375,0.99375
23,0.22808998376131057,0.995703125,0.725390625,0.966796875,0.18703734278678893,0.9984375,0.746875,0.9875
24,0.22620284110307692,0.995703125,0.723828125,0.96328125,0.1904134750366211,0.9984375,0.7546875,0.9796875
25,0.24503234028816223,0.992578125,0.711328125,0.95546875,0.19552454948425294,0.996875,0.7484375,0.9859375
26,0.23792160749435426,0.990625,0.713671875,0.96328125,0.1816800594329834,0.9984375,0.7703125,0.99375
27,0.21684602946043013,0.996484375,0.72734375,0.97265625,0.1864008218050003,0.9984375,0.7703125,0.978125
28,0.2380599185824394,0.994921875,0.714453125,0.961328125,0.1872185468673706,0.9984375,0.7484375,0.98125
29,0.2234238713979721,0.996484375,0.72421875,0.968359375,0.1869329869747162,1.0,0.734375,0.9875
30,0.2272689387202263,0.99609375,0.73203125,0.95859375,0.1655116707086563,0.9984375,0.7734375,0.996875
31,0.22051279097795487,0.99453125,0.732421875,0.9625,0.18199061155319213,0.9984375,0.7328125,0.990625
32,0.23546571135520936,0.9953125,0.721484375,0.96015625,0.1778649717569351,0.9984375,0.76875,0.990625
33,0.23922358751296996,0.994921875,0.711328125,0.95859375,0.18346748054027556,0.9984375,0.771875,0.9734375
34,0.22474951297044754,0.99609375,0.718359375,0.96796875,0.18234676122665405,0.9984375,0.7453125,0.9875
35,0.21191054433584214,0.994921875,0.740234375,0.975390625,0.17245948314666748,1.0,0.7609375,0.99375
36,0.21867455244064332,0.996484375,0.725,0.972265625,0.202424293756485,0.996875,0.7046875,0.9890625
37,0.21495904624462128,0.996484375,0.73203125,0.969921875,0.17979170978069306,0.9984375,0.7390625,0.9953125
38,0.2068708285689354,0.995703125,0.749609375,0.973828125,0.1819932460784912,1.0,0.7609375,0.9953125
39,0.20927925705909728,0.996875,0.751953125,0.973046875,0.16242497265338898,0.9984375,0.7890625,0.9875
40,0.19942549616098404,0.996484375,0.7484375,0.980078125,0.17806144952774047,1.0,0.7421875,0.9890625
41,0.21113351136445999,0.99609375,0.727734375,0.9703125,0.1665073037147522,0.9984375,0.753125,0.99375
42,0.20264848470687866,0.997265625,0.745703125,0.972265625,0.16495053470134735,1.0,0.7734375,0.996875
43,0.20074895918369293,0.99609375,0.736328125,0.9765625,0.1730280727148056,1.0,0.7703125,0.984375
44,0.1970490649342537,0.996484375,0.760546875,0.973046875,0.1589810937643051,1.0,0.7671875,0.99375
45,0.2001250922679901,0.997265625,0.74765625,0.973046875,0.1630858600139618,0.9984375,0.78125,0.99375
