epoch,train_total,train_noise,train_x0,train_param,train_closed_loop,val_total,val_noise,val_x0,val_param,val_closed_loop,val_select
1,1.4191399812698364,0.9805411219596862,1.2961159706115724,0.4329251766204834,0.4930299997329712,1.0854779005050659,0.7490492224693298,0.8837228536605835,0.3320022761821747,0.42543434500694277,1.641159474849701
2,0.9994952082633972,0.7213998436927795,0.6725221753120423,0.271546071767807,0.30873298048973086,0.8491741180419922,0.6599442005157471,0.41033836007118224,0.18512091040611267,0.19741261303424834,0.7928718835115434
3,0.8548593997955323,0.6460772037506104,0.45983071327209474,0.20301227867603303,0.16058220267295836,0.8007684826850892,0.6144444942474365,0.401507169008255,0.18156566619873046,0.12529725432395936,0.7083700895309448
4,0.8166730999946594,0.6156471014022827,0.43977434039115904,0.19404723942279817,0.13842247426509857,0.7320684194564819,0.5517841458320618,0.39699618220329286,0.17472691535949708,0.09525555372238159,0.6669786512851715
5,0.7539517641067505,0.5637171626091003,0.4098673164844513,0.18279686570167542,0.10685047209262848,0.6707817316055298,0.4971692800521851,0.36845958828926084,0.16782025396823883,0.06744356453418732,0.603723406791687
6,0.7442192196846008,0.5601089239120484,0.3943205773830414,0.17607410550117492,0.08811515271663665,0.6941702246665955,0.5252026081085205,0.3563541233539581,0.16212673783302306,0.06839010268449783,0.586870963871479
7,0.7255719065666199,0.554466712474823,0.3566052198410034,0.16235579252243043,0.08587221950292587,0.6794861912727356,0.5163854002952576,0.3356109380722046,0.15510737001895905,0.07531118988990784,0.5660294979810715
8,0.6997534990310669,0.5296102285385131,0.3503098011016846,0.16042465567588807,0.08227339088916778,0.6447860121726989,0.5060510993003845,0.28105544447898867,0.13120953738689423,0.060569413006305695,0.4728343948721886
9,0.6899267077445984,0.5294954597949981,0.3233747065067291,0.15024440884590148,0.0776195228099823,0.6569708943367004,0.5085294902324676,0.30122430324554444,0.13967741578817366,0.05941217467188835,0.5003138937056064
10,0.6881395578384399,0.5230141699314117,0.3344015419483185,0.1537071079015732,0.07568396031856536,0.6359024047851562,0.49173341393470765,0.2875811278820038,0.13434673547744752,0.06512923762202263,0.4870571009814739
11,0.6707717657089234,0.5010004937648773,0.339224374294281,0.1571694165468216,0.07474782168865204,0.6164827823638916,0.47632539868354795,0.27610319554805757,0.1307146355509758,0.04899630397558212,0.4558141350746155
12,0.6607823967933655,0.49965455532073977,0.3209574222564697,0.14862908720970153,0.06394361630082131,0.6141759753227234,0.47514957189559937,0.27395498752593994,0.1287742465734482,0.049029961228370667,0.45175919532775877
13,0.6294732928276062,0.4807796597480774,0.2907536864280701,0.13613002896308898,0.06158766821026802,0.6125694632530212,0.4614832758903503,0.2997547030448914,0.13932866752147674,0.04878645464777946,0.4878698252141476
14,0.6205821514129639,0.4649413049221039,0.30494711399078367,0.1420620232820511,0.057603183388710025,0.602893054485321,0.4647377789020538,0.2679755300283432,0.12711665630340577,0.04040313363075256,0.43549531996250146
15,0.6308616399765015,0.4721066415309906,0.3095537543296814,0.1444257229566574,0.05378852337598801,0.5742672681808472,0.4371721386909485,0.2640416920185089,0.1259754478931427,0.034116807579994204,0.4241339474916458
16,0.6113674879074097,0.45651845932006835,0.2983482241630554,0.14044466018676757,0.04857228323817253,0.582963740825653,0.44117189645767213,0.27334584295749664,0.12995738983154298,0.030873870849609374,0.434177103638649
17,0.5937116622924805,0.4434504508972168,0.2893628478050232,0.1356434106826782,0.044983350485563275,0.5850830554962159,0.4474469840526581,0.26382181644439695,0.1255110889673233,0.02969418130815029,0.41902708671987055
18,0.5980099201202392,0.44490166902542116,0.2962923049926758,0.13726145029067993,0.04604684635996818,0.5476331949234009,0.41353431940078733,0.25525030195713044,0.12133274078369141,0.03179655075073242,0.4083795934915543
19,0.593018651008606,0.44895535707473755,0.2728724777698517,0.12865646183490753,0.04242256209254265,0.5563179135322571,0.4325597107410431,0.2326944351196289,0.11164612919092179,0.02753417454659939,0.3718747388571501
20,0.5957499980926514,0.4481025516986847,0.27727076411247253,0.13124496340751649,0.04249327853322029,0.5347570538520813,0.3909311413764954,0.27287153005599973,0.1296827733516693,0.025826331600546835,0.4283806350082159
21,0.5989740490913391,0.45057090520858767,0.27967321276664736,0.1313937097787857,0.040100031346082685,0.574787712097168,0.439091819524765,0.2565143793821335,0.12169560939073562,0.02458430454134941,0.40279429331421857
22,0.5926700711250306,0.4461120367050171,0.2734890043735504,0.1290823772549629,0.03957924470305443,0.59109445810318,0.4600905776023865,0.24738696217536926,0.11646396964788437,0.026581098884344102,0.39043203070759774
23,0.5944309830665588,0.4458889663219452,0.2752819716930389,0.12976115196943283,0.042559145390987395,0.5569995522499085,0.4119710445404053,0.26748509109020235,0.12847120314836502,0.029586000367999077,0.42554229460656645
