epoch,train_loss,val_denoise_mse
1,0.5905648847905601,0.39603673219680785
10,0.2576028813955708,0.24339717388153076
20,0.23493377451526887,0.21602982223033906
30,0.21465405483518712,0.20483519196510314
40,0.19032080037247917,0.17251133263111115
50,0.18642206768679426,0.1793498730659485
60,0.17519621755124032,0.16440149545669555
70,0.17624239399889396,0.16408757090568543
80,0.1615560003524277,0.15137820482254027
90,0.16586801607285237,0.16049425959587096
100,0.16712686960923814,0.14649542450904846
110,0.1623329559272345,0.15418935179710389
120,0.16024892267918422,0.1505720019340515
130,0.15553718618000203,0.14128296494483947
140,0.1591224987910195,0.157262122631073
150,0.1508495868594293,0.14609490633010863
