epoch,train_total,train_class,train_param,train_closed_loop,val_total,val_class,val_param,val_closed_loop
1,0.7671033203601837,0.7930653512477874,0.3667574912309647,0.38131533861160277,0.6176769018173218,0.6287025451660156,0.3023515224456787,0.09740884900093079
2,0.6029546737670899,0.591611909866333,0.30525535345077515,0.0946680672466755,0.5296735882759094,0.5016246795654297,0.277850079536438,0.05055796131491661
3,0.5564521133899689,0.5267382442951203,0.29093814790248873,0.07149445116519929,0.49721807837486265,0.45350938439369204,0.2694653332233429,0.033268287777900696
4,0.5289717078208923,0.48983868658542634,0.281797456741333,0.05637284517288208,0.4725663125514984,0.4128576278686523,0.26511860489845274,0.025472292304039003
5,0.5113476574420929,0.4612519323825836,0.2782191514968872,0.050050725042819974,0.46402072310447695,0.39956132769584657,0.26290242075920106,0.026752474904060363
6,0.49772715866565703,0.44023729860782623,0.2749706655740738,0.04396401830017567,0.44006211757659913,0.35280641317367556,0.26260668635368345,0.017537136375904084
7,0.4827926933765411,0.4189882755279541,0.27044199258089063,0.0408081017434597,0.42794138193130493,0.3462917566299438,0.2535387516021729,0.01795374006032944
8,0.4699756443500519,0.3949254035949707,0.2695788323879242,0.03667639493942261,0.402782267332077,0.30018560886383056,0.2517277359962463,0.012021641246974468
9,0.45795193016529084,0.37852552235126496,0.2656045764684677,0.03427334576845169,0.3833595633506775,0.26720952391624453,0.24843433499336243,0.014671956934034825
10,0.4524456948041916,0.36910526156425477,0.2646308824419975,0.032621842063963416,0.40738713145256045,0.30944114923477173,0.2513565182685852,0.013100417330861092
11,0.44766258299350736,0.3575488328933716,0.2650272950530052,0.03509876951575279,0.3725010335445404,0.24032124280929565,0.2505976140499115,0.01584372706711292
12,0.4355547785758972,0.33453152477741244,0.2644214227795601,0.03222993705421686,0.3792944550514221,0.24699463248252868,0.25459622740745547,0.01000762190669775
13,0.43262325823307035,0.3366034388542175,0.2603582739830017,0.030486681126058103,0.35706117153167727,0.22477335035800933,0.24339836239814758,0.009816343896090984
14,0.4219516605138779,0.3147639721632004,0.2602986663579941,0.030507219210267066,0.35990995168685913,0.22630830109119415,0.24503694772720336,0.012277516350150109
15,0.41625521779060365,0.31457825303077697,0.25475378781557084,0.028082018531858922,0.3537168502807617,0.2208785057067871,0.24153230488300323,0.011635248735547065
16,0.4135949730873108,0.30408484637737276,0.2570874109864235,0.02790713533759117,0.35089250802993777,0.2112244337797165,0.24357882142066956,0.010634245350956917
17,0.411051344871521,0.29961012303829193,0.25655922293663025,0.02757096365094185,0.3549604952335358,0.21410474479198455,0.24622949659824372,0.00987427942454815
18,0.4035841315984726,0.288536462187767,0.2543118238449097,0.027800440788269043,0.3419444739818573,0.19916029572486876,0.24069282710552214,0.009286102280020714
19,0.40038377046585083,0.28303396999835967,0.2543305829167366,0.023874764703214167,0.34778634309768675,0.2122362732887268,0.24013921320438386,0.008047324139624834
20,0.3920923352241516,0.27426358610391616,0.24994218051433564,0.025091842003166675,0.33536685109138487,0.18801999986171722,0.23899344801902772,0.01181700974702835
21,0.39035620391368864,0.27092719823122025,0.2495013654232025,0.025672582536935808,0.3403042256832123,0.19864976406097412,0.2388026863336563,0.010365059971809388
22,0.39684491157531737,0.2831885576248169,0.24974216818809508,0.025038472563028335,0.3414147973060608,0.20098325610160828,0.23877620398998262,0.009758995659649373
23,0.38598971366882323,0.2668748766183853,0.24698885530233383,0.024188776127994062,0.33319613337516785,0.19443973302841186,0.23374955356121063,0.009681396931409837
24,0.380547371506691,0.25790631473064424,0.24597420543432236,0.023416681215167046,0.3364012360572815,0.1934034287929535,0.2374035209417343,0.009566673636436462
25,0.38104247450828554,0.25789755284786225,0.24643266052007676,0.022644134052097798,0.3362336099147797,0.19328537881374358,0.23770946264266968,0.00752583984285593
26,0.3805652767419815,0.2551715672016144,0.24744294881820678,0.021294394694268703,0.330866140127182,0.18671669363975524,0.23558625280857087,0.007390556111931801
27,0.37686211466789243,0.24837042689323424,0.2464829906821251,0.022940412163734436,0.3353883445262909,0.19135562777519227,0.23714008033275605,0.00952025018632412
28,0.36891715228557587,0.23321203589439393,0.24633501917123796,0.02134323716163635,0.3259964406490326,0.1821676790714264,0.2327318698167801,0.007788296975195408
29,0.37222699224948885,0.2476866528391838,0.24231332689523696,0.020932186767458914,0.33872411251068113,0.20592209100723266,0.23276427090168,0.010340643115341663
30,0.3686132252216339,0.23974242955446243,0.2416728913784027,0.02356373071670532,0.3348913311958313,0.1892304837703705,0.23732788860797882,0.009827328100800514
31,0.3671463668346405,0.23542473316192628,0.24276401698589326,0.021516076102852822,0.3276045322418213,0.18386111855506898,0.23251119256019592,0.010202553123235703
32,0.36842983663082124,0.24123018085956574,0.24087465256452562,0.021687795221805573,0.32426213622093203,0.184803107380867,0.22943917512893677,0.0075669029727578165
33,0.3680594265460968,0.2447698950767517,0.2387122020125389,0.021097820065915585,0.33493202924728394,0.20199191868305205,0.23139845430850983,0.007689726073294878
34,0.3730979025363922,0.24963309019804,0.24128469228744506,0.020578424260020257,0.3342489361763,0.19485112130641938,0.232956862449646,0.011372095346450806
35,0.3648849368095398,0.23382298797369003,0.24059298485517502,0.021087024360895157,0.3250178933143616,0.1752052754163742,0.2340552657842636,0.009599997103214264
36,0.3609815090894699,0.2246687516570091,0.24126756489276885,0.020498809404671192,0.33370723724365237,0.19189696311950682,0.23409658968448638,0.010172643139958382
37,0.3570395797491074,0.22398317605257034,0.2377128154039383,0.019824817962944507,0.32812153697013857,0.18797714114189149,0.23017167448997497,0.01070617400109768
38,0.35566931366920473,0.22237612456083297,0.2370074361562729,0.019667929410934447,0.31936289072036744,0.17024228274822234,0.2308609038591385,0.008896966837346554
39,0.35335550606250765,0.2180287152528763,0.2368330866098404,0.019251430034637453,0.3198028266429901,0.17319106459617614,0.22943625152111052,0.009669341146945953
40,0.3507425606250763,0.2114521086215973,0.23726948648691176,0.01936755105853081,0.3181608557701111,0.1675119459629059,0.23167624175548554,0.006821607612073422
41,0.35079158544540406,0.2163403481245041,0.2347666084766388,0.019158060289919378,0.3096750736236572,0.163228315114975,0.22573994100093842,0.005660942289978266
42,0.34956832230091095,0.20921030193567275,0.23700885027647017,0.018938870169222355,0.32870513796806333,0.18213637471199035,0.23389205932617188,0.008916416577994824
43,0.34910633563995364,0.20755056887865067,0.23658905625343324,0.020330215990543365,0.32081795334815977,0.16806780099868773,0.23212128281593322,0.010843626782298088
44,0.3464846432209015,0.20948493480682373,0.2328903466463089,0.020117797143757343,0.31592400670051574,0.16908007562160493,0.22804659307003022,0.007584973424673081
45,0.3463400363922119,0.20867202579975128,0.23339950740337373,0.019121157191693782,0.31543266773223877,0.16864853501319885,0.22760279178619386,0.00779026634991169
46,0.34884450733661654,0.21000861674547194,0.23471635431051255,0.019834436103701593,0.31657158136367797,0.17338172793388368,0.2255389928817749,0.00943850763142109
