epoch,train_total,train_class,train_param,train_kl,train_closed_loop,val_total,val_class,val_param,val_kl,val_closed_loop
1,1.2159522473812103,0.7948946475982666,0.8149891674518586,1.41269700974226,0.34881882146000864,0.8340596914291382,0.6551735758781433,0.5055956840515137,3.8913331985473634,0.08123909831047058
2,0.6201344192028045,0.6063343644142151,0.31530126333236697,12.829925727844238,0.06191540919244289,0.37815059423446656,0.5230329275131226,0.11504280418157578,25.12408905029297,0.03769274279475212
3,0.3493403822183609,0.4962212383747101,0.09824716597795487,34.211241722106934,0.0424009695649147,0.27659597992897034,0.4258413791656494,0.06069555059075356,44.334207153320314,0.0254340972751379
4,0.2627545058727264,0.3911019593477249,0.062611885368824,49.96489715576172,0.03151609823107719,0.19105260372161864,0.2965934932231903,0.03827112540602684,54.88420486450195,0.020644504576921463
5,0.16816481277346612,0.22496518790721892,0.049633776769042015,58.561920166015625,0.023365618847310542,0.08193570673465729,0.08940844386816024,0.03139542192220688,63.691165161132815,0.010569296963512897
6,0.09749651774764061,0.07807637825608253,0.05041658952832222,66.47811126708984,0.02323212902992964,0.055920802801847455,0.028532969206571578,0.033824775367975235,69.0835205078125,0.015353182330727577
7,0.07508067041635513,0.03762384802103043,0.046825690940022466,68.41474838256836,0.02087620422244072,0.04073649272322655,0.014117813110351563,0.025122936069965362,67.56791687011719,0.009596100077033043
8,0.06539342217147351,0.025471723265945913,0.04240288101136684,65.5068920135498,0.01900533027946949,0.040283314883708954,0.010153835639357567,0.026034553721547126,63.51681060791016,0.008786686696112156
9,0.05622738897800446,0.019421183317899705,0.03602707199752331,61.09559440612793,0.014726506173610687,0.03219767585396767,0.005782237648963929,0.019868583977222444,58.23276596069336,0.007811768632382155
10,0.05143463462591171,0.01803503856062889,0.0319455211982131,55.817597198486325,0.0116866085678339,0.03185756728053093,0.004769290704280138,0.0199193824082613,54.221343994140625,0.005166490748524666
11,0.051329807564616206,0.01651370394974947,0.03205611053854227,52.942315673828126,0.011915938835591078,0.03025209568440914,0.003919620160013437,0.01815579757094383,51.811300659179686,0.005797724612057209
12,0.04673473015427589,0.01338208643719554,0.028618704155087472,50.6611385345459,0.01077295746654272,0.03298620209097862,0.006146990135312081,0.019157474860548973,49.2263900756836,0.007582942955195904
13,0.04817984737455845,0.015980786085128783,0.02832088228315115,48.041542053222656,0.011227471474558114,0.02856881022453308,0.0024155596271157264,0.016508423164486884,46.391485595703124,0.006162454653531313
14,0.047490769252181056,0.015090819401666521,0.02759290672838688,45.71476097106934,0.01204053796827793,0.03077150136232376,0.005858292151242494,0.016878641769289972,44.40310516357422,0.004307068418711424
15,0.046356354653835294,0.013537638820707798,0.02723273020237684,43.45655555725098,0.009937768522650003,0.02917412705719471,0.0048714492470026015,0.01548766866326332,42.23874206542969,0.0046069823205471035
16,0.04293523281812668,0.011688636848703027,0.02438530568033457,41.47056159973145,0.010292453598231078,0.024836261197924613,0.004553953697904944,0.011107677407562733,40.52143859863281,0.004036807082593441
17,0.04008223414421082,0.00900591854006052,0.022759507410228252,39.5754898071289,0.009451251896098255,0.029774052649736406,0.006185930781066417,0.015103939920663834,38.57805480957031,0.0038041074760258196
18,0.04018338471651077,0.007721332693472504,0.023383338004350662,37.84871597290039,0.008804248832166194,0.02661750726401806,0.001726787886582315,0.013753932900726795,36.95139846801758,0.005082005634903908
19,0.03965718150138855,0.006554679293185472,0.023100845888257025,36.276302337646484,0.009428951377049088,0.023794184625148772,0.0015732892556115986,0.01097976192831993,35.43791046142578,0.004240908101201058
20,0.03717517852783203,0.006016874453052878,0.020759856700897215,34.94173126220703,0.008798204828053713,0.023528889566659928,0.0019206137396395207,0.01031241025775671,33.71333465576172,0.005091969110071659
21,0.03555890768766403,0.005175641318783164,0.01983113493770361,33.03459930419922,0.007513535302132368,0.022602663561701774,0.001020323345437646,0.009850205853581429,32.05521240234375,0.0048712966032326225
22,0.03513425216078758,0.006024648249149322,0.018696166202425958,32.12009773254395,0.007492687785997987,0.02083646096289158,0.0010617657797411084,0.008258002251386643,31.40292320251465,0.002423503063619137
23,0.03426729515194893,0.004636023589409888,0.018484217673540117,31.11595516204834,0.006683839438483119,0.022260959446430206,0.0009161080815829337,0.009122216328978538,30.006179809570312,0.00512312762439251
