epoch,train_total,train_bending,train_axial,val_total,val_bending,val_axial
1,0.670783343911171,0.36490109711885454,0.30588223934173586,0.20315251052379607,0.09297957718372345,0.1101729393005371
2,0.18215775191783906,0.08598551340401173,0.0961722381412983,0.09989637285470962,0.04531105011701584,0.05458532273769379
3,0.10658867433667182,0.04658518210053444,0.06000349149107933,0.055268296599388124,0.027307677641510965,0.02796062082052231
4,0.07341757044196129,0.03182077761739492,0.04159679263830185,0.044565674662590024,0.017475107684731483,0.027090567350387573
5,0.05971356555819511,0.02487093545496464,0.03484262991696596,0.027441062778234483,0.0087131068110466,0.018727955967187883
6,0.04591321721673012,0.020009725634008647,0.025903491489589214,0.022171223163604738,0.010198740474879741,0.01197248287498951
7,0.040820499137043956,0.01669615050777793,0.02412434872239828,0.021478933095932008,0.009716006927192211,0.01176292672753334
8,0.03569719530642033,0.015573048871010542,0.020124146528542042,0.018336566537618636,0.009088531136512756,0.009248035773634911
9,0.033588542602956295,0.014546182844787836,0.0190423596650362,0.01418069303035736,0.008308717235922813,0.00587197570130229
10,0.029701884649693967,0.012905059102922677,0.016796825639903545,0.01402152217924595,0.005764722730964423,0.00825679935514927
11,0.029626164026558398,0.012145218905061483,0.01748094502836466,0.010777683183550834,0.0051999279297888275,0.005577755253762006
12,0.026879431679844856,0.011113143619149923,0.015766287781298162,0.012265045940876008,0.00644158786162734,0.00582345798611641
13,0.026622734032571316,0.01106730680912733,0.015555427316576243,0.011103496700525285,0.004263309389352798,0.006840187497437001
14,0.026226878352463245,0.01011370001360774,0.016113178245723246,0.009562703222036362,0.00411725677549839,0.005445446539670229
15,0.026287139765918253,0.009782564546912908,0.01650457549840212,0.01326170116662979,0.0057890300638973715,0.007472671009600163
16,0.0259257223457098,0.010238174255937338,0.01568754781037569,0.015791701152920723,0.008435628470033407,0.007356072776019573
17,0.024117792211472987,0.009997610794380307,0.014120181743055581,0.011735152080655098,0.0055645454674959184,0.006170606706291437
18,0.022082633711397646,0.008891948498785496,0.013190685492008924,0.008208975940942765,0.0038294107653200626,0.004379565361887217
19,0.021574879065155983,0.009223290625959635,0.01235158834606409,0.00796728916466236,0.0038587449118494986,0.004108544066548347
20,0.021022931300103666,0.008908548625186086,0.01211438262835145,0.009622927010059356,0.004345290921628475,0.005277635902166367
21,0.020194975845515727,0.008231305796653033,0.011963670048862696,0.009554293006658554,0.004759920388460159,0.004794372525066137
22,0.020672915130853654,0.008115001814439892,0.01255791336297989,0.008896491304039956,0.0037870322354137897,0.005109458602964878
23,0.01982537694275379,0.008030652534216642,0.011794724222272634,0.006977955065667629,0.0027848688419908284,0.004193086270242929
24,0.01937713846564293,0.00812442796304822,0.011252710409462453,0.007144596427679062,0.0038950360380113126,0.0032495604362338783
25,0.019298709556460382,0.007853998290374874,0.011444711312651634,0.013353313319385052,0.006879202462732792,0.0064741108566522595
26,0.018752389773726463,0.00800872901454568,0.010743660479784011,0.010577265545725823,0.0062643405050039295,0.004312924668192863
27,0.019422311335802078,0.008106936840340495,0.011315374542027712,0.008153483271598816,0.003850018698722124,0.004303464572876692
28,0.01903249341994524,0.007799488492310047,0.011233004927635192,0.005586627684533596,0.003003912977874279,0.002582714753225446
29,0.018733054213225842,0.007595292571932077,0.011137761827558278,0.005845007300376892,0.00276826755143702,0.0030767397955060007
30,0.0170430613681674,0.0067910425364971164,0.010252018738538028,0.004531100951135158,0.0020418980857357383,0.002489202842116356
31,0.017229446955025197,0.006564984004944563,0.01066446267068386,0.005988205596804619,0.002936928765848279,0.0030512768775224687
